Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Harrison Avenue Streetscape,00-001,ILTR-00010,04-27-2009,,,,06-09-2009,06-09-2009,06-10-2009,,,,06-22-2009,06-23-2009,06-24-2009,DPW,"Torre Design Consortium, Ltd",12 Paid,47
Gentilly Avenue Streetscape,00-001,ILTR-00020,03-04-2009,03-19-2009,,05-01-2009,05-04-2009,05-04-2009,05-05-2009,,,,05-25-2009,05-27-2009,06-03-2009,DPW,"Three Fold Consultants, LLC",12 Paid,49
Freret Streetscape,00-002,ILTR-00009,05-07-2009,,,,06-18-2009,06-26-2009,06-26-2009,06-30-2009,,07-10-2009,07-17-2009,07-20-2009,07-20-2009,DPW,"M&S Collaborative, LLC",12 Paid,55
Freret Streetscape,00-001,ILTR-00009,03-14-2009,,,05-11-2009,05-14-2009,06-23-2009,06-23-2009,,,07-10-2009,07-17-2009,07-20-2009,05-18-2009,DPW,"M&S Collaborative, LLC",12 Paid,56
St. Bernard Streetscape,00-001,ILTR-00025,03-26-2009,,,05-26-2009,05-26-2009,06-02-2009,,,,,06-22-2009,06-23-2009,06-24-2009,DPW,"Buchart Horn, Inc",12 Paid,57
New Orleans East Streetscape Improvements,00-001,ILTR-00047,05-12-2009,06-16-2009,06-17-2009,06-22-2009,06-25-2009,06-26-2009,06-26-2009,06-30-2009,,07-10-2009,07-17-2009,07-20-2009,07-20-2009,DPW,Phoenix Global Eng. & Construction Inc.,12 Paid,61
Carrollton Avenue Streetscape,00-001,ILTR-00019,03-20-2009,05-06-2009,06-08-2009,06-08-2009,06-25-2009,06-26-2009,07-27-2009,06-30-2009,07-01-2009,07-10-2009,07-17-2009,07-20-2009,07-30-2009,DPW,"Urban Systems, Inc.",12 Paid,62
N. Claiborne Streetscapes,00-002,ILTR-00058,07-23-2009,08-07-2009,08-10-2009,08-10-2009,08-10-2009,08-11-2009,08-11-2009,08-12-2009,09-01-2009,09-01-2009,09-07-2009,09-09-2009,09-11-2009,DPW,"Buchart Horn, Inc",12 Paid,64
St. Bernard Streetscape,00-002,ILTR-00025,05-21-2009,06-26-2009,07-06-2009,06-30-2009,07-06-2009,07-10-2009,07-10-2009,07-13-2009,,07-22-2009,07-27-2009,07-28-2009,07-28-2009,DPW,"Buchart Horn, Inc",12 Paid,65
Broad & Lafitte Streetscape,00-001,ILTR-00017,03-20-2009,04-24-2009,07-07-2009,04-24-2009,07-07-2009,07-10-2009,07-10-2009,07-13-2009,,07-22-2009,07-30-2009,07-31-2009,05-12-2009,DPW,"Neel-Shaffer, Inc",12 Paid,66
Broad & Lafitte Streetscape,00-002,ILTR-00017,03-31-2009,04-28-2009,06-22-2009,06-03-2009,06-22-2009,07-10-2009,07-10-2009,07-13-2009,,07-22-2009,07-27-2009,07-28-2009,07-28-2009,DPW,"Neel-Shaffer, Inc",12 Paid,67
Carrollton Intersection Improvements,00-003,ILTR-00104,05-12-2009,06-25-2009,07-13-2009,07-07-2009,07-13-2009,07-14-2009,07-14-2009,07-14-2009,08-03-2009,08-10-2009,08-12-2009,08-13-2009,08-13-2009,DPW,"Urban Systems, Inc.",12 Paid,71
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Sr. Program Specialists #3,12 Paid,85
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Office Furniture (admin positions),12 Paid,91
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Training,12 Paid,103
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Office Furniture (admin positions),12 Paid,105
S. Claiborne Streetscapes,00-001,ILTR-00024,06-09-2009,06-16-2009,06-16-2009,08-14-2009,08-14-2009,08-17-2009,08-17-2009,08-18-2009,09-01-2009,,09-07-2009,09-09-2009,09-11-2009,DPW,"All South Consulting Engineers, L.L.C.",12 Paid,119
S. Claiborne Streetscapes,00-002,ILTR-00024,06-25-2009,07-27-2009,,,08-14-2009,08-17-2009,08-17-2009,08-18-2009,09-01-2009,,09-07-2009,09-09-2009,09-11-2009,DPW,"All South Consulting Engineers, L.L.C.",12 Paid,120
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Office Furniture (admin positions),12 Paid,124
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Office Furniture (admin positions),12 Paid,137
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Office Furniture (admin positions),12 Paid,149
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,05-08-2009,OCD,Office Furniture (admin positions),12 Paid,209
Program Administrative Costs,00-008,ILTR-00046,05-06-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,06-08-2009,OCD,Hagerty Consulting,12 Paid,214
Program Administrative Costs,00-008,ILTR-00046,05-06-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,06-08-2009,OCD,Hagerty Consulting,12 Paid,215
Carrollton Avenue Streetscape,00-002,ILTR-00019,06-17-2009,08-04-2009,08-05-2009,08-05-2009,08-24-2009,08-24-2009,08-25-2009,,09-04-2009,,09-14-2009,09-15-2009,09-24-2009,DPW,"Urban Systems, Inc.",12 Paid,216
St. Anthony Pathway,00-001,ILTR-00030,02-27-2009,06-16-2009,06-24-2009,08-31-2009,09-01-2009,09-02-2009,09-02-2009,09-15-2009,09-16-2009,,09-24-2009,09-25-2009,09-28-2009,DPW,G.E.C. INC.,12 Paid,217
St. Anthony Pathway,00-002,ILTR-00030,02-27-2009,06-16-2009,06-24-2009,08-31-2009,09-01-2009,09-02-2009,09-02-2009,09-15-2009,09-16-2009,,09-24-2009,09-25-2009,09-22-2009,DPW,G.E.C. INC.,12 Paid,218
St. Bernard Streetscape,00-003,ILTR-00025,06-25-2009,07-15-2009,07-20-2009,08-24-2009,09-28-2009,09-28-2009,09-28-2009,09-29-2009,10-06-2009,10-07-2009,10-16-2009,10-19-2009,10-19-2009,DPW,"Buchart Horn, Inc",12 Paid,311
Alcee Fortier Streetscape,00-001,ILTR-00015,05-12-2009,05-22-2009,05-22-2009,09-25-2009,09-25-2009,09-25-2009,09-28-2009,09-28-2009,10-07-2009,,10-16-2009,10-19-2009,10-19-2009,DPW,Phoenix Global Eng. & Construction Inc.,12 Paid,425
General Meyer Streetscape,00-002,ILTR-00016,09-03-2009,09-18-2009,09-21-2009,10-06-2009,10-06-2009,10-06-2009,10-06-2009,10-07-2009,10-09-2009,,10-20-2009,10-21-2009,10-28-2009,DPW,"M&S Collaborative, LLC",12 Paid,431
Freret Streetscape,00-003,ILTR-00009,09-03-2009,09-18-2009,09-22-2009,10-06-2009,10-06-2009,10-06-2009,10-06-2009,10-07-2009,10-09-2009,,10-20-2009,10-21-2009,10-28-2009,DPW,"M&S Collaborative, LLC",12 Paid,433
Pontchartrain Park Historic Municipal Golf Course,00-001,ILTR-00146,08-20-2009,08-26-2009,08-27-2009,09-15-2009,10-06-2009,10-07-2009,10-07-2009,10-07-2009,10-07-2009,,10-20-2009,10-21-2009,10-22-2009,CPA,"Duininck, INC.",12 Paid,434
Pontchartrain Park Historic Municipal Golf Course,00-002,ILTR-00146,08-26-2009,08-27-2009,08-27-2009,09-15-2009,10-06-2009,10-07-2009,10-07-2009,10-07-2009,10-07-2009,,10-20-2009,10-21-2009,10-22-2009,CPA,"Duininck, INC.",12 Paid,435
Pontchartrain Park Historic Municipal Golf Course,00-003,ILTR-00146,09-30-2009,10-01-2009,10-05-2009,10-05-2009,10-06-2009,10-07-2009,10-07-2009,10-07-2009,10-07-2009,,10-20-2009,10-21-2009,10-22-2009,CPA,"Duininck, INC.",12 Paid,436
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Principal Recovery Policy Analyst,12 Paid,82
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Policy Analyst,12 Paid,83
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,86
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Hospitalization (BCCPY),12 Paid,87
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Life Insurance (LICPY),12 Paid,89
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Unemployment Insurance (UCCPY),12 Paid,90
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Policy Analyst,12 Paid,93
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,97
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Hospitalization (BCCPY),12 Paid,98
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Life Insurance (LICPY),12 Paid,100
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,101
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Computers & Software (admin),12 Paid,104
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Principal Recovery Policy Analyst,12 Paid,109
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Policy Analyst,12 Paid,110
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Program Specialist,12 Paid,112
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,113
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Hospitalization (BCCPY),12 Paid,114
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Life Insurance (LICPY),12 Paid,116
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,117
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Office Space,12 Paid,122
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Computers & Software (admin),12 Paid,123
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Program Specialist,12 Paid,125
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Principal Recovery Policy Analyst,12 Paid,127
Program Administrative Costs,00-004,ILTR-00046,02-27-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Policy Analyst,12 Paid,128
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,130
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Hospitalization (BCCPY),12 Paid,131
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Life Insurance (LICPY),12 Paid,133
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,134
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Public Notices,12 Paid,135
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Computers & Software (admin),12 Paid,139
Program Administrative Costs,00-005,ILTR-00046,03-27-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Policy Analyst,12 Paid,140
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Principal Recovery Policy Analyst,12 Paid,142
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,144
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Hospitalization (BCCPY),12 Paid,145
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Life Insurance (LICPY),12 Paid,147
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,148
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Computers & Software (admin),12 Paid,150
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Policy Analyst,12 Paid,152
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Principal Recovery Policy Analyst,12 Paid,154
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Program Specialist,12 Paid,156
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,157
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Hospitalization (BCCPY),12 Paid,158
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Life Insurance (LICPY),12 Paid,160
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,161
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Computers & Software (admin),12 Paid,163
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Policy Analyst,12 Paid,183
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Principal Recovery Policy Analyst,12 Paid,185
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,187
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Hospitalization (BCCPY),12 Paid,188
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Life Insurance (LICPY),12 Paid,190
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,191
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Principal Recovery Policy Analyst,12 Paid,194
Program Administrative Costs,00-008,ILTR-00046,07-02-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Policy Analyst,12 Paid,195
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,197
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Hospitalization (BCCPY),12 Paid,198
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Life Insurance (LICPY),12 Paid,200
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,201
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Office Space,12 Paid,203
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Computers & Software (admin),12 Paid,207
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Public Notices,12 Paid,210
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Program Specialist,12 Paid,219
Program Administrative Costs,00-011,ILTR-00046,09-19-2009,,10-19-2009,10-20-2009,10-21-2009,03-11-2010,03-11-2010,03-11-2010,,,06-18-2010,06-21-2010,09-25-2009,OCD,Policy Analyst,12 Paid,444
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Sr. Program Specialists #1,12 Paid,84
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Workmen's Compensation (WCCPY),12 Paid,88
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,99
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,115
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,132
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Sr. Program Specialists #1,12 Paid,141
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,146
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Sr. Program Specialists #1,12 Paid,153
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,159
