Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Recovery Program - Lower Ninth Ward Quadrant 2,Neel-Schaffer Associates,Architect/Engineer,no,City Only,Invoice on Hold,Invoice on Hold,Invoice on Hold,01-01-2017,02-03-2017,01-25-2017,02-10-2017,,,,,,21273,"$88,249.42"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Urban Systems,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-18-2017,01-24-2017,02-01-2017,02-02-2017,02-07-2017,02-07-2017,,,21268,"$7,481.89"
Vienna (Corinne - Nighthart),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,01-09-2017,01-23-2017,01-24-2017,01-31-2017,02-01-2017,02-01-2017,,,21258,"$158,453.12"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-24-2016,01-17-2017,01-20-2017,01-20-2017,01-20-2017,01-23-2017,01-23-2017,02-03-2017,02-03-2017,21245,"$4,509.48"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-27-2016,01-18-2017,01-20-2017,01-20-2017,02-07-2017,02-08-2017,02-08-2017,02-15-2017,02-15-2017,21246,"$2,418.62"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)","Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-17-2016,01-20-2017,01-25-2017,01-25-2017,01-26-2017,01-26-2017,01-27-2017,01-27-2017,21252,$492
Recovery Program - St. Anthony Quadrant 2,"C.B. & I. (aka Shaw Environmental, Inc.)",Architect/Engineer,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,01-13-2017,02-10-2017,01-19-2017,,,,,,,21237,"$35,384.59"
Recovery Program - Lake Terrace & Oaks - SWB,Mott MacDonald LLC,Architect/Engineer,no,City Only,04 Department to Deliver to Finance,4 Department to Deliver to Finance,03 Fiscal to Send to D-CDBG Project Manager,06-30-2016,01-18-2017,01-19-2017,01-25-2017,02-17-2017,,,,,21238,"$135,637.81"
Aubry St. (Broad - Gentilly),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-12-2016,01-31-2017,01-19-2017,01-31-2017,02-01-2017,02-03-2017,02-03-2017,02-10-2017,02-10-2017,21243,"$184,523.04"
Joe W. Brown Park Bridge,Infinity Engineering Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-15-2017,01-31-2017,01-19-2017,02-01-2017,02-03-2017,02-07-2017,02-07-2017,02-10-2017,02-10-2017,21296,"$5,432"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)",Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-12-2017,01-12-2017,01-18-2017,01-19-2017,01-19-2017,01-23-2017,01-23-2017,01-26-2017,01-26-2017,21227,"$5,500"
Lake Forest Blvd. Widening (Eastover Dr - I-510),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,01-17-2017,01-18-2017,01-19-2017,01-20-2017,01-23-2017,01-23-2017,01-26-2017,01-26-2017,21228,"$200,622.6"
Recovery Program - St. Claude Quadrant 1,Julien Engineering & Consulting,Architect/Engineer,no,City Only,Invoice on Hold,Invoice on Hold,Invoice on Hold,12-31-2016,01-25-2017,01-18-2017,01-26-2017,02-08-2017,02-08-2017,02-08-2017,,,21229,"$103,663.68"
St. Charles Ave (Napoleon - Louisiana),"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-16-2017,01-18-2017,01-19-2017,02-06-2017,02-07-2017,02-07-2017,,,21234,"$50,338.51"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,07-06-2016,01-03-2017,01-17-2017,02-02-2017,02-08-2017,02-08-2017,02-08-2017,,,21209,"$161,674.96"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-02-2016,12-16-2016,01-13-2017,01-13-2017,01-23-2017,01-23-2017,01-23-2017,02-02-2017,02-02-2017,21186,$200
Jackson Ave (Claiborne Ave - Galvez St),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,01-06-2017,01-13-2017,01-13-2017,01-19-2017,01-20-2017,01-20-2017,01-23-2017,01-23-2017,21191,"$229,335.7"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-13-2017,01-13-2017,01-13-2017,01-18-2017,02-02-2017,02-06-2017,02-06-2017,02-10-2017,02-10-2017,21202,"$5,880"
2017 Street Light Maintenance Repairs,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,09-20-2016,01-30-2017,01-13-2017,02-02-2017,02-08-2017,02-08-2017,02-08-2017,,,21210,"$102,439.13"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-11-2017,01-12-2017,01-19-2017,01-19-2017,01-19-2017,02-03-2017,02-03-2017,21149,"$1,568"
Aubry St. (Broad - Gentilly),MSMM Engineering LLC,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-06-2017,01-11-2017,01-11-2017,01-12-2017,01-17-2017,01-17-2017,,,21181,"$18,906.1"
Recovery Program - Little Woods - SWB,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-06-2017,01-10-2017,01-25-2017,01-25-2017,01-31-2017,01-31-2017,02-09-2017,02-09-2017,21165,"$112,513.33"
Lake Forest Blvd. Widening (Eastover Dr - I-510),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,01-09-2016,01-09-2017,01-10-2017,01-17-2017,01-18-2017,01-18-2017,01-26-2017,01-26-2017,20886,"$12,500"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-09-2017,01-10-2017,01-19-2017,01-19-2017,01-19-2017,02-03-2017,02-03-2017,21148,$511
Citywide Sign Replacement,Custom Products Corp,Other,no,City Only,02 Fiscal to Receive Invoice,2 Fiscal to Receive Invoice,02 Fiscal to Receive Invoice,10-04-2016,10-04-2016,01-09-2017,01-09-2017,,,,,,21155,$997.64
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-08-2016,11-08-2016,01-07-2017,01-10-2017,01-12-2017,01-12-2017,01-12-2017,01-17-2017,01-17-2017,21150,"$56,076.53"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-06-2017,01-10-2017,01-12-2017,01-12-2017,01-12-2017,02-09-2017,02-09-2017,21139,$323
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-06-2017,01-10-2017,01-13-2017,01-13-2017,01-13-2017,01-23-2017,01-23-2017,21140,$784
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-06-2017,01-10-2017,01-13-2017,01-13-2017,01-13-2017,01-23-2017,01-23-2017,21141,$323
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-06-2017,01-10-2017,01-19-2017,01-19-2017,01-19-2017,02-09-2017,02-09-2017,21142,$511
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-06-2017,01-10-2017,01-19-2017,01-19-2017,01-19-2017,02-09-2017,02-09-2017,21143,$323
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,12-30-2016,01-05-2017,01-10-2017,01-12-2017,01-12-2017,01-12-2017,02-09-2017,02-09-2017,21138,$511
Aubry St. (Broad - Gentilly),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-13-2017,12-27-2017,01-03-2017,01-03-2017,01-05-2017,01-06-2017,01-06-2017,01-09-2017,01-09-2017,21119,"$2,471.7"
Vienna (Corinne - Nighthart),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-01-2017,12-27-2017,01-03-2017,01-03-2017,01-03-2017,01-06-2017,01-06-2017,01-10-2017,01-10-2017,21125,$445.3
N. Galvez St (Tennessee St  - Delery St),"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,12-30-2016,01-03-2017,01-03-2017,01-05-2017,01-05-2017,01-12-2017,01-12-2017,21114,"$13,884.84"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,01-10-2017,12-30-2016,01-23-2017,01-30-2017,01-31-2017,01-31-2017,02-03-2017,02-03-2017,21117,"$27,317.25"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-19-2016,12-23-2016,12-28-2016,12-28-2016,01-12-2017,01-13-2017,01-13-2017,01-20-2017,01-20-2017,21109,"$2,266"
Aubry St. (Broad - Gentilly),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-27-2016,12-13-2016,12-27-2016,12-28-2016,12-30-2016,01-04-2017,01-04-2017,01-04-2017,01-04-2017,21108,"$192,806.87"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),Durr Heavy Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-15-2016,12-15-2016,12-22-2016,12-27-2016,12-28-2016,01-03-2017,01-03-2017,01-04-2017,01-04-2017,21104,"$218,536.27"
Gravier St (Galvez - Broad),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-24-2016,12-20-2016,12-22-2016,12-27-2016,12-27-2016,01-03-2017,01-03-2017,01-10-2017,01-10-2017,21105,"$11,494.5"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Urban Systems,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,12-12-2016,12-22-2016,12-30-2016,01-03-2017,01-03-2017,01-03-2017,01-11-2017,01-11-2017,21106,"$11,222.83"
"Recovery Program - BW Cooper, Dixon, Gert Town","CDM Smith, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-30-2016,01-18-2017,12-21-2016,01-31-2017,02-01-2017,02-06-2017,02-06-2017,02-10-2017,02-10-2017,21098,"$81,770.58"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-09-2016,11-21-2016,12-21-2016,12-28-2016,01-19-2017,01-20-2017,01-20-2017,01-27-2017,01-27-2017,21100,"$5,837.81"
Camp St. (Louisiana - Washington Ave),Integrated Management Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,12-21-2016,12-21-2016,01-09-2017,01-09-2017,01-10-2017,01-10-2017,01-11-2017,01-11-2017,21102,"$13,360"
Gravier St (Galvez - Broad),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,12-15-2016,12-20-2016,12-21-2016,12-23-2016,01-06-2017,01-06-2017,01-12-2017,01-12-2017,21070,"$503,949.15"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)","Roubion Roads & Streets, L.L.C.",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-05-2016,12-05-2016,12-20-2016,12-22-2016,01-10-2017,01-11-2017,01-11-2017,01-17-2017,01-17-2017,21085,"$105,136.78"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-30-2016,12-19-2016,12-19-2016,12-21-2016,01-03-2017,01-03-2017,01-03-2017,01-06-2017,01-06-2017,20962,"$72,232.88"
DPW Traditional CDBG Street Resurfacing/Repair,Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-13-2016,12-15-2016,12-16-2016,12-16-2016,12-19-2016,12-19-2016,12-19-2016,12-22-2016,12-22-2016,21051,"$129,409.7"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Eustis Engineering,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-28-2016,12-16-2016,12-30-2016,12-30-2016,01-03-2017,01-03-2017,01-10-2017,01-10-2017,21052,"$2,421.5"
Vienna (Corinne - Nighthart),"AECOM USA, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-11-2016,12-15-2016,12-16-2016,12-16-2016,12-19-2016,12-27-2016,12-27-2016,01-03-2017,01-03-2017,21053,"$15,798"
Recovery Program - Lower Ninth Ward Quadrant 3,Integrated Management Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-12-2016,12-15-2016,12-16-2016,12-22-2016,01-11-2017,01-12-2017,01-12-2017,01-19-2017,01-19-2017,21054,"$131,085.64"
