Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Main Public Library Repairs,Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,02-01-2017,02-02-2017,02-10-2017,02-15-2017,02-16-2017,02-16-2017,,,21304,"$279,846.62"
Main Public Library Repairs,"WDG, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-28-2017,01-31-2017,02-01-2017,02-10-2017,02-13-2017,02-14-2017,02-14-2017,02-17-2017,02-17-2017,21298,"$6,272.5"
NOPL Libraries - Security Gates & Cameras,Envisionware,Other,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-31-2017,01-31-2017,02-01-2017,02-01-2017,02-02-2017,02-03-2017,02-03-2017,,,21301,"$14,376.97"
NOPL Libraries - Security Gates & Cameras,Envisionware,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-27-2017,01-27-2017,01-27-2017,01-27-2017,01-27-2017,01-30-2017,01-30-2017,02-03-2017,02-03-2017,21279,"$2,475"
NOFD Headquarters (NSA Build Out),NANO LLC,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-27-2017,01-27-2017,01-27-2017,01-31-2017,02-01-2017,02-01-2017,02-02-2017,02-02-2017,21282,"$15,045"
Stallings Gentilly Fencing & Sidewalks,"Dana Brown & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-05-2017,01-05-2017,01-24-2017,02-01-2017,02-02-2017,02-03-2017,02-03-2017,,,21260,"$4,399.2"
Stallings Gentilly Fencing & Sidewalks,"Crescent Commercial Construction, LLC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-23-2017,01-24-2017,01-24-2017,02-06-2017,02-07-2017,02-07-2017,02-15-2017,02-15-2017,21262,"$43,340.98"
Fleur de Lis Park,"Dana Brown & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-30-2016,01-20-2017,01-20-2017,01-20-2017,01-20-2017,01-23-2017,12-03-2017,01-30-2017,01-30-2017,21247,"$1,534.18"
McKay Playspot,"Dana Brown & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-30-2016,01-20-2017,01-20-2017,01-20-2017,01-20-2017,01-23-2017,01-23-2017,01-30-2017,01-30-2017,21248,$767.09
Behrman Center Roof Repairs,Rycars Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-19-2017,01-19-2017,01-19-2017,01-23-2017,01-25-2017,01-31-2017,01-31-2017,02-03-2017,02-03-2017,21236,"$9,891"
1% for the Arts,Arts Council,Other,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-19-2017,01-10-2017,01-19-2017,01-19-2017,01-30-2017,01-31-2017,01-31-2017,,,21284,"$187,160.43"
Hardin Playground Improvements,RCL Architecture,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-16-2017,01-16-2017,01-18-2017,01-20-2017,01-24-2017,01-25-2017,01-25-2017,02-03-2017,02-03-2017,21214,"$14,877.6"
West Bank Natatorium at Behrman Park,Sizeler Thompson Brown Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-30-2016,01-12-2017,01-18-2017,02-01-2017,02-02-2017,02-03-2017,02-03-2017,,,21216,"$30,368.48"
Conrad Playground Improvements,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-13-2017,01-18-2017,01-23-2017,01-24-2017,01-25-2017,01-25-2017,02-03-2017,02-03-2017,21217,"$2,771.78"
Criminal District Court - Structural Wind Retro-Fit,Yeates and Yeates Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-31-2016,01-11-2017,01-18-2017,01-20-2017,01-24-2017,01-25-2017,01-25-2017,02-03-2017,02-03-2017,21218,"$30,556.9"
Bunny Friend Playground Improvements,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,01-18-2017,01-20-2017,01-20-2017,01-23-2017,01-23-2017,,,21219,$286.84
Digby Park,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,01-18-2017,01-20-2017,01-20-2017,01-23-2017,01-23-2017,01-31-2017,01-31-2017,21220,$470.27
Kenilworth Playground Improvements,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,01-18-2017,01-20-2017,01-20-2017,01-23-2017,01-23-2017,01-31-2017,01-31-2017,21221,$430.27
McCue Playground,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,01-18-2017,01-20-2017,01-20-2017,01-23-2017,01-23-2017,01-31-2017,01-31-2017,21222,$143.43
"Hunter's Field Phase II - Electrical, Drainage & Park Improvements","Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-14-2017,01-17-2017,01-18-2017,01-20-2017,01-20-2017,01-22-2017,01-22-2017,01-31-2017,01-31-2017,21230,"$12,860.83"
Lemann II Playground,Gandolfo Kuhn,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-19-2016,09-20-2016,01-18-2017,01-18-2017,01-20-2017,01-23-2017,01-23-2017,01-31-2017,01-31-2017,21244,$990
Milne Gymnasium Build-Out (NOLA For Life),"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-13-2017,01-16-2017,01-17-2017,01-17-2017,01-30-2017,02-01-2017,02-01-2017,02-02-2017,02-02-2017,21199,"$45,853.54"
Milne Gymnasium Build-Out (NOLA For Life),"Battco Construction & Maintenance, Inc.",General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-13-2017,01-16-2017,01-17-2017,01-17-2017,01-27-2017,01-27-2017,01-27-2017,,,21200,"$24,193.4"
Milne Gymnasium Build-Out (NOLA For Life),"Battco Construction & Maintenance, Inc.",General Contractor,no,CDBG/City,06 Finance to Send to State,8 Paid,08 Finance to Cut Check,01-14-2017,01-14-2017,01-17-2017,01-17-2017,01-18-2017,01-19-2017,01-19-2017,01-26-2017,01-26-2017,21207,"$20,806.59"
NOPD Third District Police Station,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-28-2016,11-29-2016,01-13-2017,01-13-2017,01-17-2017,01-18-2017,01-18-2017,01-26-2017,01-26-2017,21190,"$6,477.28"
Milne Gymnasium Build-Out (NOLA For Life),Gordian Group,Other,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,12-23-2016,12-31-2016,01-13-2017,01-17-2017,01-27-2017,01-27-2017,01-27-2017,,,21195,$471.77
NOPD Second District Police Station,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-14-2016,12-14-2016,01-12-2017,01-12-2017,01-13-2017,01-16-2017,01-16-2017,01-24-2017,01-24-2017,21182,$720.43
NOPD Second District Police Station,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-11-2017,01-11-2017,01-12-2017,01-12-2017,01-13-2017,01-16-2017,01-16-2017,01-24-2017,01-24-2017,21183,$212.53
NOPD Third District Police Station,Graybar Electric Co,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-12-2017,01-12-2017,01-12-2017,01-18-2017,01-24-2017,01-25-2017,01-25-2017,02-03-2017,02-03-2017,21223,$79.87
Keller Community Center,"Holly and Smith Architects, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,01-31-2017,01-11-2017,01-11-2017,01-13-2017,01-16-2017,01-16-2017,01-24-2017,01-24-2017,21177,$427.9
Jackson Square Renovations Phase II,Smith Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-09-2016,01-11-2017,01-11-2017,01-12-2017,01-13-2017,01-13-2017,01-26-2017,01-26-2017,21179,"$28,324.14"
NOPD Second District Police Station,Clerk of Civil District Court Land Records Division,Government,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-14-2016,09-14-2016,01-11-2017,01-11-2017,01-18-2017,01-19-2017,01-19-2017,01-26-2017,02-01-2017,21212,$548
NOPD Second District Police Station,Clerk of Civil District Court Land Records Division,Government,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-14-2016,09-14-2016,01-11-2017,01-11-2017,01-18-2017,01-19-2017,01-19-2017,02-01-2017,02-03-2017,21213,$323
Lemann II Playground,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,01-05-2017,01-05-2017,01-10-2017,01-12-2017,01-17-2017,01-18-2017,01-18-2017,01-26-2017,01-26-2017,21160,"$9,101.15"
Latter Library Renovations Phase II,CDW Services,General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,01-09-2017,01-10-2017,01-24-2017,01-25-2017,01-26-2017,01-26-2017,,,21161,"$31,840.11"
Latter Library Renovations Phase II,CDW Services,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,01-09-2017,01-10-2017,01-24-2017,01-26-2017,01-27-2017,01-27-2017,02-03-2017,02-03-2017,21162,"$20,503.92"
Keller Community Center,"Holly and Smith Architects, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,01-10-2017,01-10-2017,01-10-2017,01-11-2017,01-11-2017,01-19-2017,01-19-2017,21163,"$1,757.02"
Joe W. Brown Park Global Motion ,Landscape Structures,,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-14-2016,11-14-2016,01-10-2017,01-24-2017,01-24-2017,01-25-2017,01-25-2017,02-03-2017,02-03-2017,21173,"$9,000"
Energy Management,Grant Capital Management,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-30-2017,01-01-2017,01-04-2017,01-04-2017,01-04-2017,01-05-2017,01-05-2017,01-03-2017,01-03-2017,21135,"$92,029.74"
NOPD Third District Police Station,"Volume Zero, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,01-03-2017,01-03-2017,01-04-2017,01-05-2017,01-05-2017,01-12-2017,01-12-2017,21122,"$6,477.28"
Main Public Library Repairs,"WDG, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-27-2016,12-27-2016,12-29-2016,12-29-2016,12-30-2016,01-03-2017,01-03-2017,01-10-2017,01-10-2017,21111,"$2,205"
New Orleans Museum of Art Elevator Repairs,Infinity Engineering Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-20-2016,12-20-2016,12-22-2016,01-03-2017,01-03-2017,01-04-2017,01-04-2017,01-11-2017,01-11-2017,21091,$576.05
Milne Gymnasium Build-Out (NOLA For Life),CDW Services,General Contractor,no,CDBG/City,06 Finance to Send to State,8 Paid,10 Paid,10-31-2016,12-19-2016,12-22-2016,12-22-2016,12-23-2016,12-23-2016,12-23-2016,01-03-2017,01-03-2017,21092,"$107,341.89"
Main Public Library Repairs,Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,12-21-2016,12-21-2016,12-23-2016,01-03-2017,01-04-2017,01-04-2017,01-12-2017,01-12-2017,21089,"$576,175"
Brechtel Park - Lagoon Restoration,"Dana Brown & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-15-2016,12-15-2016,12-20-2016,12-27-2016,01-03-2017,01-04-2017,01-04-2017,01-18-2017,01-18-2017,21081,"$3,729.47"
Main Public Library Repairs,"WDG, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-14-2016,12-14-2016,12-19-2016,12-23-2016,12-23-2016,12-30-2016,12-30-2016,01-10-2017,01-10-2017,21061,"$5,965"
Taylor Playground Repairs 2016,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2016,12-31-2016,12-16-2016,12-16-2016,12-20-2016,12-27-2016,12-27-2016,12-29-2016,12-29-2016,21057,$975.57
Main Public Library Repairs,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-07-2016,12-14-2016,12-15-2016,12-23-2016,12-29-2016,12-30-2016,12-30-2016,01-10-2017,01-10-2017,21041,"$5,718.08"
Main Public Library Repairs,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-28-2016,12-14-2016,12-15-2016,12-23-2016,12-29-2016,12-30-2016,12-30-2016,01-10-2017,01-10-2017,21042,$755.9
NOFD Engine Nos. 33 & 40 Consolidated West Bank Fire Station,"Holly and Smith Architects, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-12-2016,12-12-2016,12-15-2016,12-15-2016,12-29-2016,12-29-2016,12-29-2016,01-10-2017,01-10-2017,21044,"$36,005.15"
West Bank Soccer Complex (Brechtel Park),Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-05-2016,12-05-2016,12-15-2016,12-28-2016,01-03-2017,01-04-2017,01-04-2017,01-12-2017,01-12-2017,21045,"$64,613.67"
West Bank Soccer Complex (Brechtel Park),Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-05-2016,12-05-2016,12-15-2016,12-28-2016,01-04-2017,01-05-2017,01-05-2017,01-12-2017,01-12-2017,21048,"$48,068.72"
Sanchez (Copelin-Byrd) Pool,"Pan American Engineers, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2016,12-13-2016,12-14-2016,12-14-2016,12-15-2016,12-16-2016,12-16-2016,12-21-2016,12-21-2016,21034,$590
Jackson Square Renovations Phase II,Smith Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,12-14-2016,12-14-2016,12-15-2016,12-22-2016,12-23-2016,12-23-2016,01-03-2017,01-03-2017,21035,"$59,480.16"
Criminal District Court - Structural Wind Retro-Fit,Yeates and Yeates Architects,Architect/Engineer,no,Express Pay/City,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-09-2016,12-09-2016,12-13-2016,12-15-2016,12-16-2016,02-13-2017,02-13-2017,02-13-2017,02-13-2017,21028,"$204,922.35"
Stallings Gentilly Fencing & Sidewalks,Gandolfo Kuhn,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-28-2016,10-28-2016,12-09-2016,01-06-2017,01-20-2017,01-23-2017,01-23-2017,01-31-2017,01-31-2017,21011,$450
Conrad Playground Improvements,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-15-2016,11-15-2016,12-08-2016,12-12-2016,12-12-2016,12-13-2016,12-13-2016,12-14-2016,12-14-2016,21002,$866.18
Nora Navra Library,Manning Architects,Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,11-30-2016,12-08-2016,12-08-2016,12-08-2016,12-12-2016,12-12-2016,12-15-2016,12-15-2016,21004,"$14,190"
Lemann II Playground,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-02-2016,12-02-2016,12-08-2016,12-15-2016,12-20-2016,12-27-2016,12-27-2016,12-29-2016,12-29-2016,21005,"$5,309"
NOPL Libraries - Security Gates & Cameras,Envisionware,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-29-2016,11-29-2016,12-07-2016,11-30-2016,12-08-2016,12-09-2016,12-09-2016,12-28-2016,12-28-2016,20998,"$11,760"
Taylor Playground Improvements,"Dana Brown & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-01-2016,12-01-2016,12-05-2016,12-05-2016,12-07-2016,12-08-2016,12-08-2016,12-20-2016,12-20-2016,20989,"$5,800.8"
NOFD Fuel Tank Stations,"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-29-2016,11-23-2016,12-01-2016,12-05-2016,12-05-2016,12-06-2016,12-06-2016,12-20-2016,12-20-2016,20968,"$1,986.78"
Village de L'Est Playground Phase II - Community Building & Park Improvements,"Holly and Smith Architects, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-30-2016,06-30-2016,12-01-2016,12-01-2016,12-02-2016,12-05-2016,12-05-2016,12-13-2016,12-13-2016,20969,$731.91
Main Public Library Repairs,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-14-2016,12-01-2016,11-28-2016,12-01-2016,12-02-2016,12-02-2016,12-06-2016,12-06-2016,20970,"$23,079.04"
Rosenwald Center Phase I - Gymnasium & Grounds,"WDG, LLC",Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-29-2016,11-29-2016,11-30-2016,12-02-2016,12-09-2016,12-13-2016,12-13-2016,12-14-2016,12-14-2016,20965,"$55,261.9"
Main Public Library Repairs,"WDG, LLC",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,11-30-2016,11-30-2016,12-02-2016,12-05-2016,12-06-2016,12-06-2016,12-13-2016,12-13-2016,20966,"$5,312.5"
NOFD Engine Nos. 33 & 40 Consolidated West Bank Fire Station,"Holly and Smith Architects, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-29-2016,11-29-2016,11-29-2016,11-30-2016,11-30-2016,12-01-2016,12-01-2016,12-08-2016,12-08-2016,20958,"$9,486"
West Bank Soccer Complex (Brechtel Park),Sizeler Thompson Brown Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-28-2016,11-21-2016,11-28-2016,12-16-2016,12-19-2016,12-27-2016,12-27-2016,12-29-2016,12-29-2016,20949,"$205,540.58"
West Bank Natatorium at Behrman Park,Sizeler Thompson Brown Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-28-2016,11-22-2016,11-28-2016,12-05-2016,12-06-2016,12-07-2016,12-07-2016,12-20-2016,12-20-2016,20950,"$41,361.88"
Rosenwald Center Phase II - Pool & Poolhouse,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-01-2016,12-06-2016,11-28-2016,12-07-2016,12-08-2016,12-09-2016,12-09-2016,12-20-2016,12-20-2016,20995,$999.94
New Orleans Museum of Art Elevator Repairs,Infinity Engineering Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-18-2016,11-21-2016,11-23-2016,11-29-2016,11-29-2016,11-30-2016,11-30-2016,12-08-2016,12-08-2016,20945,$576.05
Main Public Library Repairs,Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-31-2016,11-22-2016,11-22-2016,12-14-2016,12-19-2016,12-20-2016,12-20-2016,01-03-2017,01-03-2017,20942,"$35,762.75"
Main Public Library Repairs,Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-22-2016,11-22-2016,12-15-2016,12-20-2016,12-21-2016,12-21-2016,01-03-2017,01-03-2017,20943,"$520,999"
Eastshore Playground Improvements,Chase Marshall Architects APAC,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-17-2016,11-17-2016,11-18-2016,11-21-2016,11-21-2016,11-22-2016,11-22-2016,11-30-2016,11-30-2016,20923,"$6,836.2"
"Riverview ""the Fly"" and Nature Center Improvements",Audubon Commission,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-31-2018,11-29-2016,11-17-2016,11-17-2016,11-18-2016,11-21-2016,11-21-2016,12-06-2016,12-06-2016,20912,"$500,000"
Rosenwald Center Phase II - Pool & Poolhouse,Leaaf Environmental LLC,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-15-2016,11-14-2016,11-17-2016,11-28-2016,12-08-2016,12-09-2016,12-09-2016,12-20-2016,12-20-2016,20915,"$5,007.54"
Property Management Capital Fund Requests,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2016,11-17-2016,11-17-2016,11-17-2016,11-18-2016,11-21-2016,12-21-2016,11-30-2016,11-30-2016,21079,$975.14
NOFD Roof Repairs,Gordian Group,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2016,11-17-2016,11-17-2016,11-17-2016,11-18-2016,11-21-2016,11-21-2016,11-30-2016,11-30-2016,21080,$21.03
Property Management Capital Fund Requests,Tuna Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-13-2016,11-17-2016,11-17-2016,11-17-2016,11-18-2016,11-21-2016,11-21-2016,11-30-2016,11-30-2016,21082,"$9,217.14"
Property Management Capital Fund Requests,"Battco Construction & Maintenance, Inc.",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-24-2016,11-17-2016,11-17-2016,11-17-2016,11-18-2016,11-21-2016,11-21-2016,11-30-2016,11-30-2016,21083,"$4,575.72"
