Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
Lakeview Modeling & Hydraulic Study,Spackman Mossop Michael,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-22-2016,09-22-2016,10-17-2016,10-24-2016,10-25-2016,12-29-2016,12-29-2016,12-30-2016,20749,"$5,475"
St. Roch Modeling & Hydraulic Study,Moffatt and Nichol,Architect/Engineer,no,Express Pay,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,08-27-2016,10-03-2016,10-14-2016,10-17-2016,10-19-2016,02-20-2017,02-20-2017,,20739,"$50,799.5"
Bayou St. John (Oak Park) Drainage Improvements,Stantec Consulting Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-16-2016,09-23-2016,10-13-2016,10-14-2016,10-24-2016,12-29-2016,12-29-2016,12-30-2016,20734,"$19,767.5"
Bayou St. John (Oak Park) Drainage Improvements,Stantec Consulting Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-16-2016,09-23-2016,10-13-2016,10-14-2016,10-24-2016,12-29-2016,12-29-2016,12-30-2016,20735,"$64,674"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-20-2016,09-19-2016,09-21-2016,09-21-2016,10-12-2016,12-05-2016,12-05-2016,12-05-2016,20622,"$260,276.66"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,yes,Express Pay,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,01-20-2016,09-19-2016,09-21-2016,09-21-2016,,,,,20623,$0
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,yes,Express Pay,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,01-20-2016,09-13-2016,09-14-2016,09-15-2016,,,,,20247,-$760
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,yes,Express Pay,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,01-20-2016,09-13-2016,09-13-2016,09-15-2016,09-19-2016,,,,20246,$0
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-20-2016,07-26-2016,07-28-2016,07-28-2016,08-02-2016,08-18-2016,08-18-2016,08-18-2016,20252,"$41,300.77"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2016,07-18-2016,07-20-2016,08-13-2016,08-18-2016,09-09-2016,09-09-2016,09-16-2016,20341,"$85,421.39"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2016,06-30-2016,07-15-2016,07-26-2016,08-01-2016,08-10-2016,08-10-2016,08-22-2016,20114,"$169,989.41"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-01-2016,07-14-2016,07-14-2016,07-26-2016,08-29-2016,08-10-2016,08-10-2016,08-22-2016,20316,"$191,531.78"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-01-2016,07-13-2016,07-13-2016,07-15-2016,07-19-2016,10-28-2016,10-28-2016,10-31-2016,20294,"$185,520.11"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2016,06-23-2016,07-05-2016,07-05-2016,07-13-2016,07-29-2016,07-29-2016,08-02-2016,20245,"$250,770.89"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-20-2016,06-30-2016,07-05-2016,07-05-2016,07-07-2016,07-22-2016,07-22-2016,07-25-2016,20251,"$195,102.93"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-01-2016,06-06-2016,06-08-2016,06-15-2016,06-29-2016,07-18-2016,07-18-2016,07-18-2016,20115,"$408,749.03"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-03-2015,05-25-2016,05-28-2016,05-31-2016,09-09-2016,10-31-2016,10-31-2016,11-01-2016,20024,"$35,134.44"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-20-2016,05-26-2016,05-27-2016,06-02-2016,06-24-2016,07-18-2016,07-18-2016,07-18-2016,20071,"$717,825.31"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2015,05-13-2016,05-19-2016,05-20-2016,06-07-2016,09-20-2016,09-20-2016,09-20-2016,20008,"$14,982.71"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2016,05-13-2016,05-13-2016,05-20-2016,05-24-2016,06-03-2016,06-03-2016,06-08-2016,19523,"$659,675.58"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-02-2016,04-18-2016,04-22-2016,04-27-2016,05-12-2016,05-13-2016,05-13-2016,05-23-2016,19780,"$6,604.11"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2015,03-31-2016,04-19-2016,04-20-2016,04-26-2016,05-13-2016,05-13-2016,05-19-2016,19373,"$425,142.92"
Recovery Program - Lakeview - Vicksburg St. Demonstration,Fleming Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-18-2016,04-18-2016,04-18-2016,04-19-2016,04-20-2016,04-29-2016,04-29-2016,05-02-2016,19751,"$32,662.58"
Joe W. Brown Park Bridge,Infinity Engineering Consultants,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-15-2016,03-22-2016,04-07-2016,04-07-2016,04-22-2016,07-18-2016,07-18-2016,07-19-2016,19672,"$20,384"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-20-2016,03-24-2016,04-07-2016,04-08-2016,04-13-2016,04-29-2016,04-29-2016,05-02-2016,19678,"$4,771.85"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2015,03-17-2016,04-07-2016,04-13-2016,04-13-2016,06-29-2016,06-29-2016,07-01-2016,19680,"$286,353.46"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-20-2016,03-24-2016,04-05-2016,04-08-2016,04-14-2016,06-09-2016,06-09-2016,06-09-2016,19649,"$247,220.49"
Recovery Program - Filmore Quadrant 2,"Volkert, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-18-2016,03-29-2016,04-04-2016,04-13-2016,04-22-2016,04-25-2016,04-25-2016,05-02-2016,19652,"$12,722.15"
Recovery Program - Lake Terrace & Oaks - SWB,Mott MacDonald LLC,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-18-2015,03-25-2016,04-04-2016,04-07-2016,04-22-2016,04-25-2016,04-25-2016,04-28-2016,19659,"$15,838.26"
Recovery Program - Filmore Quadrant 1,Professional Engineering Consultants Corp.,Supervision,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-02-2016,03-02-2016,03-30-2016,04-01-2016,04-22-2016,04-22-2016,04-22-2016,04-28-2016,19167,"$4,747.76"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-27-2016,03-23-2016,03-18-2016,03-30-2016,04-21-2016,04-25-2016,04-25-2016,05-02-2016,19554,$438.16
Academy Park Modeling & Hydraulic Study ,Meyer Engineers,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-07-2016,03-07-2016,03-10-2016,03-11-2016,03-21-2016,04-25-2016,04-25-2016,04-26-2016,19514,"$78,724.44"
Bayou St. John (Oak Park) Drainage Improvements,Stantec Consulting Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-20-2016,02-20-2016,03-08-2016,03-10-2016,03-21-2016,04-25-2016,04-25-2016,04-27-2016,19483,"$57,435"
Bayou St. John (Oak Park) Drainage Improvements,Stantec Consulting Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-20-2016,02-22-2016,03-08-2016,03-10-2016,03-22-2016,04-25-2016,04-25-2016,04-27-2016,19484,"$74,870"
Bayou St. John (Oak Park) Drainage Improvements,Stantec Consulting Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-19-2016,02-26-2016,03-08-2016,03-10-2016,03-21-2016,04-25-2016,04-25-2016,04-26-2016,19485,"$12,904.25"
St. Roch Modeling & Hydraulic Study,Moffatt and Nichol,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,03-03-2016,03-04-2016,03-07-2016,03-16-2016,05-25-2016,05-25-2016,05-26-2016,19454,"$168,233.5"
St. Roch Modeling & Hydraulic Study,Moffatt and Nichol,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-30-2016,03-04-2016,03-04-2016,03-07-2016,03-16-2016,05-25-2016,05-25-2016,05-26-2016,19455,"$46,876"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,02-26-2016,03-02-2016,03-10-2016,03-21-2016,04-06-2016,04-06-2016,04-07-2016,18785,"$259,635.7"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-20-2016,02-25-2016,03-02-2016,03-03-2016,03-16-2016,03-30-2016,03-30-2016,03-30-2016,19434,"$652,232.81"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Direct Mail Plus,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-26-2016,02-26-2016,03-01-2016,03-01-2016,03-09-2016,03-11-2016,03-11-2016,03-11-2016,19478,$403.31
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2015,02-22-2016,02-25-2016,02-29-2016,03-02-2016,03-07-2016,03-07-2016,03-07-2015,19153,"$805,066.81"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2015,02-22-2016,02-24-2016,02-24-2016,02-26-2016,03-07-2016,03-07-2016,03-07-2016,18986,"$926,264.4"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-30-2016,02-23-2016,02-24-2016,02-25-2016,03-09-2016,03-25-2016,03-25-2016,04-01-2016,19389,"$6,365.72"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-20-2016,01-27-2016,02-22-2016,02-23-2016,03-16-2016,03-30-2016,03-30-2016,03-30-2016,19370,"$387,125.48"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-20-2016,01-27-2016,02-22-2016,02-23-2016,03-16-2016,03-30-2016,03-30-2016,03-30-2016,19371,"$50,768.95"
Broadmoor Drainage,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-16-2016,01-26-2016,02-12-2016,02-26-2016,03-09-2016,04-07-2016,04-07-2016,04-12-2016,19337,"$378,123.54"
Recovery Program - Lakeview Quadrant 2 (Pavement Only),Direct Mail Plus,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-23-2015,11-23-2015,02-11-2016,02-12-2016,02-17-2016,02-19-2016,02-19-2016,02-22-2016,19344,$495.38
Recovery Program - French Quarter,Direct Mail Plus,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-04-2015,12-04-2015,02-11-2016,02-11-2016,02-17-2016,02-19-2016,02-19-2016,02-22-2016,19345,$145
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-20-2015,01-28-2016,01-29-2016,02-04-2016,02-24-2016,03-18-2016,03-18-2016,03-21-2016,19250,"$732,970.12"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,yes,Express Pay,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,12-20-2015,01-28-2016,01-29-2016,02-04-2016,02-02-2016,02-02-2016,02-02-2016,,19254,$0
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-20-2015,01-28-2016,01-28-2016,02-04-2016,03-03-2016,04-06-2016,04-06-2016,04-07-2016,19251,"$30,266.53"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-20-2015,01-28-2016,01-28-2016,02-04-2016,02-17-2016,03-18-2016,03-18-2016,03-21-2016,19253,"$263,781.47"
Lakeview Modeling & Hydraulic Study,Spackman Mossop Michael,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-19-2016,01-19-2016,01-26-2016,01-27-2016,01-28-2016,05-25-2016,05-25-2016,05-26-2016,19229,"$119,880"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-19-2015,01-14-2016,01-20-2016,01-25-2016,01-26-2016,03-16-2016,03-16-2016,03-17-2016,19185,"$2,725.08"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-19-2015,01-18-2016,01-20-2016,01-25-2016,01-26-2016,03-15-2016,03-15-2016,03-17-2016,19187,"$5,475.71"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,yes,Express Pay,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,12-01-2015,01-15-2016,01-20-2016,01-26-2016,,,,,19189,"-$12,534.3"
Recovery Program - Lakeview Quadrant 2 (Pavement Only),Direct Mail Plus,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-13-2016,01-13-2016,01-20-2016,01-20-2016,01-26-2016,01-29-2016,01-29-2016,01-29-2016,19214,$503.2
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-05-2015,12-28-2015,12-30-2015,12-30-2015,01-04-2016,03-16-2016,03-16-2016,03-22-2016,19077,"$3,321.24"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),"Gulf South Engineering & Testing, Inc.",Testing,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-05-2015,12-28-2015,12-30-2015,12-30-2015,01-04-2016,03-16-2016,03-16-2016,03-17-2016,19081,"$4,701.87"
Recovery Program - Filmore Quadrant 2,"Volkert, Inc",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-20-2015,11-30-2015,12-21-2015,01-07-2016,03-02-2016,03-03-2016,03-03-2016,03-16-2016,19016,"$14,129.34"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-08-2015,10-10-2015,12-18-2015,12-21-2015,12-30-2015,01-25-2016,01-25-2016,01-25-2016,18729,"$492,180.14"
Recovery Program - Plum Orchard,Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2015,12-04-2015,12-15-2015,12-17-2015,12-29-2015,01-19-2016,01-19-2016,01-19-2016,18990,"$27,760.8"
Broadmoor Drainage,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2015,12-14-2015,12-14-2015,12-23-2015,12-30-2015,04-07-2016,04-07-2016,04-12-2016,18996,"$289,530.37"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,11-15-2015,12-08-2015,12-09-2015,01-12-2016,02-02-2016,02-02-2016,02-02-2016,18786,"$9,674.52"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-20-2015,11-24-2015,12-08-2015,12-10-2015,12-28-2015,02-02-2016,02-02-2016,02-02-2016,18956,"$22,409.55"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-20-2015,11-24-2015,12-08-2015,12-10-2015,12-30-2015,02-02-2016,02-02-2016,02-02-2016,18957,"$28,093.87"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),HNTB Corporation,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-20-2015,11-30-2015,12-08-2015,12-10-2015,12-14-2015,03-23-2016,03-23-2016,03-28-2016,18959,"$74,725.5"
Recovery Program - St. Claude (Pavement Only),Direct Mail Plus,Other,no,Express Pay/City,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-25-2015,08-25-2015,12-08-2015,12-08-2015,12-11-2015,12-11-2015,12-11-2015,12-17-2015,18972,$866.16
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-02-2015,11-24-2015,12-07-2015,12-10-2015,12-30-2015,02-02-2016,02-02-2016,02-02-2016,18950,"$554,798.58"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-20-2015,11-24-2015,12-07-2015,12-10-2015,12-23-2015,02-02-2016,02-02-2016,02-02-2016,18952,"$724,969.98"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2015,11-30-2015,12-04-2015,12-04-2015,12-16-2015,02-02-2016,02-02-2016,02-05-2016,18933,"$104,823.7"
Recovery Program - Touro,Durr Heavy Construction,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2015,11-30-2015,12-04-2015,12-04-2015,12-22-2015,02-02-2016,02-02-2016,02-02-2016,18935,"$1,267.06"
