Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date Sent to State,Date Sent to Hancock by State,Date Revolver Check Received,Record ID#,Invoice Amount
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-02-2016,12-16-2016,01-13-2017,01-13-2017,01-20-2017,01-24-2017,01-24-2017,01-31-2017,02-10-2017,02-13-2017,21185,"$188,519.14"
"RR3 - Bayou St John, Fairgrounds, Seventh Ward  Group A (INC)",Urban Systems,Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,11-30-2016,02-07-2017,01-13-2017,02-15-2017,01-27-2017,02-21-2017,02-21-2017,02-21-2017,,,21201,"$65,624.88"
RR3 - LNW Northwest Group A (PMOI),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-03-2017,01-03-2017,01-12-2017,01-13-2017,01-18-2017,01-24-2017,01-24-2017,02-01-2017,02-10-2017,02-13-2017,21184,"$9,704.34"
RR3 - Treme-Lafitte Group A (INC),Meyer Engineers,Architect/Engineer,no,Revolver Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,11-28-2016,12-07-2016,01-11-2017,01-12-2017,01-13-2017,01-20-2017,01-20-2017,,,,21176,"$7,624.85"
RR3 - Broadmoor Group A (PMOPI),Digital Engineering and Imaging,Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,12-31-2016,01-04-2017,01-06-2017,,,,,,,,21144,"$63,524.4"
RR3 - LNW Northeast Group A (INC),Neel-Schaffer Associates,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-27-2016,01-11-2016,01-06-2017,01-17-2017,01-19-2017,01-23-2017,01-23-2017,01-31-2017,02-10-2017,02-13-2017,21145,"$9,547.38"
RR3 - Lake Terrace and Oaks Group A (PCI),Mott MacDonald LLC,Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,10-31-2016,12-28-2016,01-04-2017,01-18-2017,02-09-2017,02-16-2017,02-16-2017,02-20-2017,,,21132,"$40,734.8"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-09-2016,11-21-2016,12-21-2016,12-28-2016,01-25-2017,01-27-2017,01-27-2017,02-01-2017,02-10-2017,02-13-2017,21099,"$67,322.57"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-09-2016,11-21-2016,12-21-2016,12-28-2016,01-19-2017,01-24-2017,01-24-2017,02-01-2017,02-10-2017,02-13-2017,21101,$614.75
RR3 - Lakeshore Group A (INC),C&S Consultants,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-15-2016,01-18-2017,12-15-2016,01-20-2017,01-24-2017,01-31-2017,01-31-2017,02-01-2017,02-10-2017,02-13-2017,21040,"$18,307.11"
RR3 - Village De L'est Group A (INC),"Stanley Consultants, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-09-2016,12-09-2016,12-13-2016,12-13-2016,12-21-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,21024,"$47,149.2"
RR3 - LNW Northwest Group A (PMOI),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-09-2016,12-09-2016,12-12-2016,12-13-2016,12-30-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,21020,"$9,704.34"
RR3 - LNW Northeast Group A (INC),Neel-Schaffer Associates,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,12-05-2016,12-09-2016,12-09-2016,12-23-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20978,"$19,710.72"
RR3 - Broadmoor Group A (PMOPI),Digital Engineering and Imaging,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-26-2016,11-30-2016,12-08-2016,01-06-2017,01-10-2017,01-13-2017,01-13-2017,01-19-2017,02-03-2017,02-03-2017,21006,"$31,762.2"
RR3 - Gentilly Terrace Group A (INC),Phoenix Global Engineering,Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,11-30-2016,01-25-2017,12-07-2016,,,,,,,,20984,"$42,452.15"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-02-2016,12-16-2016,12-05-2016,12-19-2016,12-23-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20979,"$42,981.09"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-02-2016,12-16-2016,12-02-2016,12-19-2016,12-23-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20980,"$4,246.5"
"RR3 - Hollygrove, Leonidas Group A (INC)",Waggoner Engineering,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,12-15-2016,11-28-2016,12-27-2016,01-06-2017,01-12-2017,01-12-2017,01-18-2017,02-03-2017,02-03-2014,20957,"$53,461.39"
RR3 - Marlyville-Fontainebleau Group A (PMOPI),"Schrenk Endom Flanagan, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-04-2016,11-17-2016,11-22-2016,11-28-2016,12-12-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20938,"$129,885"
RR3 - Read Blvd West Group A (INC),Principal Engineering Inc.,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-30-2016,11-14-2016,11-21-2016,11-28-2016,12-05-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20930,"$58,094.4"
RR3 - Mid-City Group A (INC),Infinity Engineering Consultants,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-04-2016,11-15-2016,11-18-2016,12-14-2016,12-21-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20926,"$64,980"
RR3 - St. Claude Group A (PMOI),Rahman & Associates,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-09-2016,11-09-2016,11-16-2016,11-18-2016,11-30-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20897,"$70,113.9"
RR3 - Read Blvd East Group A (PCI),Evans-Graves Engineering   Inc,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-10-2016,11-10-2016,11-16-2016,11-18-2016,12-01-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20910,"$59,394"
RR3 - Treme-Lafitte Group A (INC),Meyer Engineers,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-11-2016,11-15-2016,11-15-2016,11-15-2016,12-29-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20883,"$27,993.5"
RR3 - Lakeview North Group A (INC),Richard C. Lambert,Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,10-31-2016,01-30-2017,11-15-2016,01-06-2017,01-18-2017,02-08-2017,02-08-2017,02-14-2017,,,20888,"$63,986.25"
Joe Brown Park Pavement,Evans-Graves Engineering   Inc,Architect/Engineer,no,Revolver Only,02 Fiscal to Receive Invoice,2 Fiscal to Receive Invoice,02 Fiscal to Receive Invoice,Fully Paid,11-04-2016,11-04-2016,11-09-2016,11-09-2016,11-16-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20856,"$16,453.5"
Joe Brown Park Pavement,Evans-Graves Engineering   Inc,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-20-2016,10-24-2016,11-09-2016,11-09-2016,11-16-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20857,"$55,112"
RR3 - LNW Northwest Group A (PMOI),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,10-31-2016,11-09-2016,11-28-2016,12-23-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20858,"$42,052.15"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-09-2016,11-03-2016,11-03-2016,11-08-2016,11-18-2016,11-29-2016,11-29-2016,12-01-2016,12-09-2016,12-13-2016,20824,"$76,849.7"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-09-2016,11-03-2016,11-03-2016,11-08-2016,11-22-2016,11-29-2016,11-29-2016,12-01-2016,12-09-2016,12-13-2016,20825,"$40,024.6"
RR3 - Lakeshore Group A (INC),C&S Consultants,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-03-2016,11-14-2016,10-25-2016,11-16-2016,12-01-2016,01-05-2017,01-05-2017,01-09-2017,01-10-2017,01-10-2017,20797,"$39,665.4"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-01-2016,10-04-2016,10-07-2016,10-10-2016,10-31-2016,11-18-2016,11-18-2016,11-21-2016,12-02-2016,12-05-2016,20593,"$87,405.14"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-01-2016,10-04-2016,10-07-2016,10-10-2016,11-02-2016,11-09-2016,11-09-2016,11-21-2016,12-05-2016,12-05-2016,20594,"$28,340.36"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-20-2016,09-13-2016,09-14-2016,09-15-2016,09-20-2016,11-30-2016,11-30-2016,12-01-2016,12-09-2016,12-13-2016,20248,"$14,854.2"
Breakwater Dr. (North Roadway - Dead End),"ALL South Engineers, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2016,08-30-2016,09-01-2016,09-01-2016,09-21-2016,09-27-2016,09-27-2016,09-29-2016,10-07-2016,10-11-2016,19533,"$8,857.5"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2016,08-30-2016,08-18-2016,08-26-2016,09-09-2016,11-29-2016,11-29-2016,12-01-2016,12-09-2016,12-13-2016,19972,"$7,673.62"
RR3 - Filmore North Group A (PMOI),Professional Engineering Consultants Corp.,Supervision,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-07-2016,11-01-2016,07-15-2016,11-18-2016,12-01-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20331,"$97,086.96"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-30-2016,07-30-2016,07-15-2016,08-03-2016,08-12-2016,11-10-2016,11-10-2016,11-21-2016,12-02-2016,12-05-2016,20334,"$123,670.28"
Broadmoor Drainage,"CDM Smith, Inc.",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-20-2016,07-10-2016,07-13-2016,07-13-2016,07-18-2016,07-27-2016,07-27-2016,07-28-2016,08-10-2016,08-10-2016,19587,"$135,621.64"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2016,06-23-2016,07-05-2016,07-05-2016,07-14-2016,10-10-2016,10-10-2016,10-11-2016,10-17-2016,10-17-2016,20244,"$42,553.38"
Joe W. Brown Park Bridge,Infinity Engineering Consultants,Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-10-2016,06-17-2016,06-17-2016,06-30-2016,07-01-2016,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20176,"$32,592"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-01-2016,06-06-2016,06-08-2016,06-15-2016,06-29-2016,07-06-2016,07-06-2016,07-07-2016,07-19-2016,07-19-2016,20148,"$10,416.75"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-05-2015,05-25-2016,05-28-2016,05-31-2016,09-09-2016,11-29-2016,11-29-2016,12-01-2016,12-09-2016,12-13-2016,20015,"$3,390.9"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-20-2016,05-26-2016,05-27-2016,06-02-2016,06-27-2016,07-06-2016,07-06-2016,07-07-2016,07-19-2016,07-19-2016,20072,"$11,228.52"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2015,05-13-2016,05-19-2016,05-20-2016,09-01-2016,11-29-2016,11-29-2016,11-30-2016,12-09-2016,12-13-2016,20009,$502.4
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-01-2016,04-04-2016,05-12-2016,06-10-2016,06-30-2016,07-06-2016,07-06-2016,07-07-2016,07-19-2016,07-19-2016,19965,"$14,800.05"
Recovery Program - Lakeview Quadrant 2,Richard C. Lambert,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-29-2016,04-11-2016,05-11-2016,05-11-2016,05-12-2016,05-17-2016,05-17-2016,05-20-2016,06-06-2016,06-01-2016,19539,"$13,724.84"
Recovery Program - Lakeview Quadrant 2,Richard C. Lambert,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2016,04-11-2016,05-11-2016,05-11-2016,05-12-2016,05-17-2016,05-17-2016,05-20-2016,06-06-2016,06-01-2016,19957,"$11,513.82"
Academy Park Modeling & Hydraulic Study ,Meyer Engineers,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-02-2016,05-05-2016,05-09-2016,05-09-2016,05-12-2016,05-26-2016,05-26-2016,05-31-2016,06-13-2016,06-06-2016,19934,"$15,000"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-01-2016,04-29-2016,05-04-2016,05-18-2016,06-01-2016,06-10-2016,06-10-2016,06-14-2016,06-27-2016,06-21-2016,19663,"$224,943.13"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2016,04-20-2016,04-28-2016,05-17-2016,06-02-2016,06-29-2016,06-29-2016,06-30-2016,07-08-2016,07-08-2016,19826,"$269,833.87"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 1),Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2016,04-20-2016,04-28-2016,06-17-2016,06-02-2016,06-29-2016,06-29-2016,06-30-2016,07-08-2016,07-08-2016,19827,"$1,263.5"
RR3 - Filmore South Group A (PMOPI),"Volkert, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-21-2016,11-30-2016,04-18-2016,12-23-2016,01-03-2017,01-05-2017,01-05-2017,01-10-2017,01-20-2017,01-23-2017,20003,"$12,586.23"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2015,04-11-2016,04-11-2016,04-12-2016,04-20-2016,04-28-2016,04-28-2016,05-04-2016,05-09-2016,05-17-2016,19388,"$711,721.09"
Recovery Program - Lakeview Quadrant 1 (Pavement Only),Durr Heavy Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2015,04-04-2016,04-06-2016,04-08-2016,04-14-2016,06-06-2016,06-06-2016,06-08-2016,06-27-2016,06-21-2016,19650,$351.12
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-03-2015,03-31-2016,04-04-2016,04-07-2016,04-15-2016,06-06-2016,06-06-2016,06-08-2016,06-27-2016,06-21-2016,19654,"$1,405.43"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-26-2016,03-09-2016,04-01-2016,04-12-2016,04-21-2016,04-28-2016,04-28-2016,05-04-2016,05-09-2016,05-17-2016,19637,"$279,119.83"
Academy Park Modeling & Hydraulic Study ,Meyer Engineers,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-02-2016,03-29-2016,03-31-2016,04-01-2016,04-06-2016,04-15-2016,04-15-2016,04-19-2016,05-09-2016,05-03-2016,19634,"$39,362.22"
DPW Pavement Assessment,Stantec Consulting Services,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-04-2015,03-15-2016,03-15-2016,03-18-2016,03-29-2016,04-04-2016,04-04-2016,04-08-2016,04-12-2016,04-18-2016,19548,"$23,150"
Breakwater Dr. (North Roadway - Dead End),"ALL South Engineers, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2015,03-14-2016,03-14-2016,03-21-2016,03-30-2016,04-01-2016,04-01-2016,04-05-2016,04-14-2016,04-18-2016,19128,"$13,286.25"
Breakwater Dr. (North Roadway - Dead End),"ALL South Engineers, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2015,03-14-2016,03-14-2016,03-21-2016,03-30-2016,04-01-2016,04-01-2016,04-05-2016,04-14-2016,04-18-2016,19129,"$38,630"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 2),Hard Rock Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-20-2016,01-27-2016,02-26-2016,02-29-2016,03-10-2016,06-06-2016,06-06-2016,06-08-2016,06-27-2016,06-21-2016,19403,"$2,850"
Breakwater Dr. (North Roadway - Dead End),"ALL South Engineers, Inc",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2015,01-26-2016,02-15-2016,02-15-2016,03-03-2016,03-16-2016,03-16-2016,03-18-2016,03-25-2016,03-28-2016,18462,"$21,152"
Recovery Program - St. Claude (Pavement Only),Boh Brother Construction Company,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2016,01-13-2016,02-04-2016,02-29-2016,03-04-2016,03-10-2016,03-10-2016,03-14-2016,03-16-2016,03-28-2016,19280,"$50,394.75"
Recovery Program - Holy Cross - Part 2,Fleming Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2015,01-15-2016,01-21-2016,01-27-2016,02-04-2016,06-06-2016,06-06-2016,06-08-2016,06-27-2016,06-21-2016,18776,"$8,958.01"
Recovery Program - Holy Cross - Part 1,"Roubion Roads & Streets, L.L.C.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-01-2015,01-15-2016,01-20-2016,01-26-2016,02-01-2016,06-06-2016,06-06-2016,06-08-2016,06-27-2016,06-21-2016,19188,"$6,631.81"
Mirabeau Water Gardens,Waggonner & Ball Architects,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-30-2015,12-30-2015,01-13-2016,01-19-2016,01-20-2016,04-14-2016,04-14-2016,04-18-2016,04-22-2016,05-03-2016,19145,"$441,659"
