Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
Timecard Management System,"Data Management, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2016,12-01-2016,12-02-2016,12-02-2016,12-05-2016,12-08-2016,12-08-2016,12-20-2016,20987,$672.5
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-15-2016,11-15-2016,11-23-2016,11-23-2016,11-30-2016,12-19-2016,12-19-2016,12-20-2016,20947,"$728,560.2"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2016,10-20-2016,11-02-2016,11-04-2016,11-15-2016,11-17-2016,11-17-2016,11-21-2016,20831,"$2,447.54"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2016,10-20-2016,11-02-2016,11-04-2016,11-15-2016,11-17-2016,11-17-2016,11-21-2016,20833,"$1,117.65"
NOPD Third District Police Station,Hernandez Consulting,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,11-01-2016,11-01-2016,11-01-2016,11-02-2016,11-17-2016,11-17-2016,11-21-2016,20812,"$265,167.8"
NOPD Third District Police Station,Hernandez Consulting,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2016,10-14-2016,10-17-2016,10-18-2016,10-19-2016,10-31-2016,10-31-2016,10-31-2016,20744,"$261,383.09"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-07-2016,10-07-2016,10-17-2016,10-17-2016,10-17-2016,10-31-2016,10-31-2016,10-31-2016,20745,"$559,860.7"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-08-2016,08-08-2016,09-07-2016,09-07-2016,09-07-2016,10-28-2016,10-28-2016,10-31-2016,20550,"$203,448.6"
NOPD Third District Police Station,Hernandez Consulting,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2016,09-02-2016,09-07-2016,09-08-2016,09-08-2016,10-31-2016,10-31-2016,10-31-2016,20555,"$115,064"
Criminal District Court - Structural Wind Retro-Fit,Yeates and Yeates Architects,Architect/Engineer,no,Express Pay/City,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-25-2016,08-25-2016,08-30-2016,09-02-2016,09-06-2016,09-07-2016,09-07-2016,10-18-2016,20531,"$46,845.64"
PDU Software & Business Applications,"Ask Reply, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,04-29-2016,08-04-2016,09-23-2016,09-27-2016,10-05-2016,10-05-2016,10-06-2016,20634,"$11,475"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-07-2016,06-07-2016,07-07-2016,07-07-2016,07-07-2016,08-29-2016,08-29-2016,08-30-2016,20268,"$99,004.4"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-25-2016,05-05-2016,06-17-2016,06-22-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,20175,"$1,748.5"
PDU Software & Business Applications,Intuit,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-20-2017,05-20-2016,06-15-2016,06-20-2016,06-23-2016,06-27-2016,06-27-2016,06-27-2016,20182,"$20,700"
Youth Study Center/New Orleans Juvenile Justice Complex FFE,Crescent Multimedia Solutions,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-23-2016,03-23-2016,06-09-2016,06-13-2016,06-15-2016,07-26-2016,07-26-2016,08-02-2016,20073,"$31,280"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-29-2016,06-06-2016,06-07-2016,06-22-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,20112,$374.68
Timecard Management System,"Data Management, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-01-2016,06-01-2016,06-02-2016,06-20-2016,06-20-2016,06-23-2016,06-23-2016,06-23-2016,20187,$615
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-12-2016,04-12-2016,05-03-2016,05-03-2016,05-03-2016,05-13-2016,05-13-2016,05-13-2016,19878,"$249,792.7"
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-10-2016,03-10-2016,03-29-2016,04-19-2016,04-19-2016,06-20-2016,06-20-2016,06-21-2016,19611,"$127,992.81"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-11-2016,03-11-2016,03-24-2016,03-24-2016,03-28-2016,03-29-2016,03-29-2016,06-06-2016,19584,"$418,083.7"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-29-2016,03-08-2016,03-21-2016,04-27-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,19817,$306.48
Youth Study Center/New Orleans Juvenile Justice Complex FFE,Crescent Multimedia Solutions,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-03-2016,03-03-2016,03-03-2016,03-03-2016,03-08-2016,06-13-2016,06-13-2016,06-21-2016,19438,"$113,747"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-25-2015,02-02-2016,03-02-2016,03-07-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,19477,"$1,106.77"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2016,01-31-2016,02-26-2016,02-26-2016,03-01-2016,03-31-2016,03-31-2016,03-31-2016,19410,"$36,148"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-27-2016,01-04-2016,02-25-2016,03-02-2016,10-05-2016,10-11-2016,10-11-2016,10-12-2016,19467,"$2,926.37"
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2016,02-01-2016,02-03-2016,02-12-2016,02-24-2016,04-12-2016,04-12-2016,04-12-2016,19305,"$293,659.34"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2015,12-31-2015,01-27-2016,01-27-2016,01-27-2016,02-03-2016,02-03-2016,02-03-2016,19238,"$36,148"
PDU Software & Business Applications,"Ask Reply, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,10-05-2015,01-21-2016,01-21-2016,04-06-2016,04-12-2016,04-12-2016,04-13-2016,19216,"$33,150"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-07-2015,12-07-2015,01-20-2016,01-20-2016,01-21-2016,02-03-2016,02-03-2016,02-03-2016,19204,"$144,592"
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-28-2015,01-05-2016,01-06-2016,01-14-2016,01-20-2016,02-19-2016,02-19-2016,02-22-2016,19183,"$436,496.24"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-23-2015,09-23-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,18536,"$48,436.2"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-10-2015,08-10-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19041,"$8,072.1"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2015,08-31-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19042,"$48,433.5"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2015,08-31-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19043,"$8,072.1"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-15-2015,09-15-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19044,"$8,072.1"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-14-2015,10-14-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19046,"$16,144.2"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-28-2015,10-28-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19047,"$16,144.2"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-28-2015,10-28-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19048,"$16,144.2"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-17-2015,11-17-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19049,"$32,289.3"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-17-2015,11-17-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19050,"$24,217.2"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-17-2015,11-17-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19051,"$84,153.6"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-03-2015,12-03-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19052,"$16,144.2"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-03-2015,12-03-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19053,"$16,144.2"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-09-2015,12-09-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19054,"$8,072.1"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2015,10-31-2015,12-21-2015,12-21-2015,12-23-2015,02-03-2016,02-03-2016,02-03-2016,19055,"$1,098"
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2015,12-01-2015,12-09-2015,12-09-2015,12-15-2015,01-19-2016,01-19-2016,01-19-2016,18965,"$180,072.5"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-30-2015,11-30-2015,12-04-2015,03-03-2013,10-05-2016,10-11-2016,10-11-2016,10-12-2016,18928,"$2,192.62"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-25-2015,11-02-2015,11-30-2015,12-07-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,18930,$249.79
NOFD Fire Safety Trailer,Mobile Concepts by Scotty,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-23-2015,10-23-2015,11-20-2015,10-29-2015,11-24-2015,11-25-2015,11-25-2015,11-30-2015,18852,"$44,841.6"
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-10-2015,11-16-2015,11-19-2015,11-20-2015,11-23-2015,12-02-2015,12-02-2015,12-02-2015,18845,"$173,137.5"
Gert Town Community Pool,"HMS Architects, APC",Architect/Engineer,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-18-2015,11-18-2015,11-18-2015,11-20-2015,11-20-2015,12-02-2015,12-02-2015,12-02-2015,18844,"$46,843.03"
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-21-2015,11-09-2015,11-11-2015,11-11-2015,11-12-2015,12-02-2015,12-02-2015,12-02-2015,18774,"$121,144"
St. Bernard Center Renovations,Kevin J. Smith Construction,General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2015,11-02-2015,11-05-2015,11-09-2015,11-09-2015,11-18-2015,11-18-2015,11-19-2015,19230,"$20,359.49"
Carrollton Hollygrove Senior Center,Wharton-Smith,General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-29-2015,10-31-2015,11-03-2015,11-03-2015,11-10-2015,11-10-2015,11-10-2015,11-20-2015,18674,"$65,961.85"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-28-2015,09-22-2015,10-27-2015,10-28-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,18663,"$1,799.78"
Gert Town Community Pool,"HMS Architects, APC",Architect/Engineer,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-20-2015,10-20-2015,10-22-2015,10-23-2015,10-23-2015,12-02-2015,12-02-2015,12-02-2015,18596,"$31,228.68"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2015,10-14-2015,10-20-2015,10-20-2015,10-22-2015,11-18-2015,11-18-2015,12-03-2015,18582,"$94,962"
Gallier Hall Exterior Facade Repairs (St. Charles),"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-15-2015,09-24-2015,09-29-2015,09-30-2015,10-01-2015,10-06-2015,10-06-2015,11-18-2015,18428,"$78,071"
Gert Town Community Pool,"Ardaman & Associates, Inc",Testing,no,Express Pay,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-15-2015,09-15-2015,09-24-2015,09-24-2015,09-28-2015,12-02-2015,12-02-2015,12-02-2015,18339,"$2,996.25"
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,07-31-2015,09-11-2015,09-28-2015,10-01-2015,11-02-2015,11-02-2015,11-03-2015,18444,"$32,533.2"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2015,08-26-2015,09-09-2015,09-16-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,18255,$664.05
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,08-26-2015,08-31-2015,09-03-2016,10-05-2016,10-11-2016,10-11-2016,10-11-2016,18182,"$3,731.47"
Sanchez (Copelin-Byrd) Center,"Gibbs Construction, Co.",General Contractor,no,Express Pay,08 State to Send to Hancock,8 Paid,04 D-CDBG Project Manager to Approve,Fully Paid,06-30-2015,07-17-2015,08-05-2015,08-07-2015,09-28-2015,11-18-2015,11-18-2015,12-03-2015,19233,"$570,414.87"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-26-2015,07-23-2015,07-30-2015,08-13-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,18113,$612.92
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-18-2015,07-18-2015,07-27-2015,07-29-2015,07-29-2015,07-30-2015,07-30-2015,08-03-2015,17864,$555.86
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2015,02-12-2015,07-15-2015,07-15-2015,07-15-2015,07-17-2015,07-17-2015,07-20-2015,17808,"$5,160"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-28-2015,03-09-2015,07-15-2015,07-15-2015,07-15-2015,07-17-2015,07-17-2015,07-20-2015,17809,"$17,832.5"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-29-2015,06-17-2015,07-02-2015,07-02-2015,10-05-2016,10-11-2016,10-11-2016,10-12-2016,17751,$244.89
PDU Renovations,Gordian Group,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2015,05-31-2015,06-19-2015,06-19-2015,06-19-2015,06-22-2015,06-22-2015,06-24-2015,17640,$427.69
PDU Renovations,FHP Tectonics Corp.,General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-28-2015,05-28-2015,06-19-2015,06-19-2015,06-19-2015,06-22-2015,06-22-2015,06-24-2015,17641,"$21,933.02"
NOPD Mounted Division Horse Stables,Associated Office Systems,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-16-2015,04-16-2015,05-26-2015,05-27-2015,05-27-2015,05-27-2015,05-27-2015,06-03-2015,17446,"$12,842.77"
Timecard Management System,"Data Management, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,03-31-2016,04-09-2015,05-11-2015,05-11-2015,05-14-2015,05-20-2015,05-20-2015,05-21-2015,17359,"$6,120"
PDU Software & Business Applications,Oracle Corporation,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-18-2015,04-18-2015,04-29-2015,04-29-2015,04-30-2015,05-01-2015,05-01-2015,05-04-2015,17192,$673.61
NOPD Police Vehicles,Crescent Decal Specialists,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,02-20-2015,02-20-2015,04-29-2015,04-29-2015,04-30-2015,09-02-2015,09-02-2015,09-03-2015,17193,"$1,180"
Document Control Buildout,"Geocent, LLC",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,04-09-2015,04-09-2015,04-24-2015,07-15-2015,07-15-2015,07-17-2015,07-17-2015,07-20-2015,17174,"$3,432.5"
