Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date Sent to State,Date Sent to Hancock by State,Date Revolver Check Received,Record ID#,Invoice Amount
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-28-2016,12-08-2016,12-16-2016,01-03-2017,01-06-2017,01-11-2017,01-11-2017,01-12-2017,01-20-2017,01-23-2017,21118,"$216,926.02"
Municipal Yacht Harbor Boat House Repairs,Fidelity & Deposit Company of Maryland,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-23-2016,12-05-2016,12-15-2016,12-22-2016,12-23-2016,12-27-2016,12-27-2016,01-05-2017,01-09-2017,01-13-2017,21036,"$167,550.34"
Rosenwald Center Phase I - Gymnasium & Grounds,Leaaf Environmental LLC,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-29-2016,12-15-2016,12-15-2016,12-23-2016,12-29-2016,01-04-2017,01-04-2017,01-05-2017,01-09-2017,01-13-2017,21043,"$15,016.85"
NOFD Engine Nos. 22 and 39,Tuna Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-15-2016,12-15-2016,12-15-2016,12-15-2016,12-19-2016,12-20-2016,12-20-2016,12-22-2016,01-06-2017,01-10-2017,21047,"$32,020.8"
Revolver Administrative Costs,Whitney Bank,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-01-2016,08-02-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-19-2016,12-16-2016,12-22-2016,21059,"$6,666.67"
Revolver Administrative Costs,Whitney Bank,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-01-2016,10-31-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-19-2016,12-16-2016,12-22-2016,21060,"$6,733.33"
City Hall/Civil Court MEP Repair / Replacement,"Marrero, Couvillon & Associates, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2016,11-30-2016,12-09-2016,12-12-2016,12-13-2016,12-14-2016,12-14-2016,12-15-2016,12-19-2016,12-22-2016,21010,"$42,586.68"
DPW Traffic Sign & Signal Shop Demolition,Gordian Group,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-15-2016,11-15-2016,12-08-2016,12-12-2016,12-13-2016,12-14-2016,12-14-2016,12-15-2016,12-21-2016,12-23-2016,21001,"$1,050"
Nora Navra Library,Manning Architects,Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2016,11-30-2016,12-08-2016,12-08-2016,12-08-2016,12-12-2016,12-12-2016,12-14-2016,12-19-2016,12-21-2016,21004,"$14,190"
Criminal District Courts Phase II - Interior Renovations & Furnishings,"Battco Construction & Maintenance, Inc.",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,12-02-2016,12-05-2016,12-08-2016,12-08-2016,12-12-2016,12-12-2016,12-14-2016,12-19-2016,12-22-2016,20990,"$239,678.82"
Rosenwald Center Phase I - Gymnasium & Grounds,"WDG, LLC",Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-29-2016,11-29-2016,11-30-2016,12-02-2016,12-09-2016,12-13-2016,12-13-2016,12-15-2016,12-19-2016,12-22-2016,20965,"$55,261.9"
New Orleans Museum of Art Damage Repairs,"Artex, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,11-16-2016,11-18-2016,11-16-2016,11-18-2016,11-22-2016,11-22-2016,11-30-2016,12-09-2016,12-13-2016,20928,"$224,124"
Gert Town Community Pool,"HMS Architects, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-15-2016,11-18-2016,11-18-2016,11-18-2016,11-21-2016,11-22-2016,11-22-2016,11-30-2016,12-09-2016,12-13-2016,20929,"$3,903.59"
Rosenwald Center Phase II - Pool & Poolhouse,Leaaf Environmental LLC,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-15-2016,11-14-2016,11-17-2016,11-28-2016,12-01-2016,12-02-2016,12-02-2016,12-05-2016,12-16-2016,12-20-2016,20914,"$5,556.6"
Municipal Yacht Harbor Marina Repairs,Moffatt and Nichol,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-29-2016,11-14-2016,11-16-2016,11-17-2016,11-22-2016,11-28-2016,11-28-2016,11-30-2016,12-09-2016,12-13-2016,20893,"$98,529.65"
DPW Traffic Sign & Signal Shop Demolition,Big Yellow Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-09-2016,11-16-2016,11-16-2016,11-16-2016,11-16-2016,11-18-2016,11-18-2016,11-28-2016,12-09-2016,12-13-2016,20894,"$53,846.07"
Rosenwald Center Phase I - Gymnasium & Grounds,Leaaf Environmental LLC,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,11-14-2016,11-16-2016,11-28-2016,12-01-2016,12-02-2016,12-02-2016,12-05-2016,12-16-2016,12-20-2016,20902,"$222,177.91"
Algiers Courthouse Restoration Ph. II - Structural Repairs,"Linfield, Hunter & Junius",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-09-2016,11-09-2016,11-14-2016,11-16-2016,11-16-2016,11-18-2016,11-18-2016,11-28-2016,12-09-2016,12-13-2016,20880,"$1,853.92"
City Hall/Civil Court MEP Repair / Replacement,"Marrero, Couvillon & Associates, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,10-31-2016,11-14-2016,11-15-2016,11-16-2016,11-18-2016,11-18-2016,11-28-2016,12-09-2016,12-13-2016,20881,"$53,233.35"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2016,10-26-2016,11-14-2016,11-16-2016,11-18-2016,11-22-2016,11-22-2016,11-30-2016,12-09-2016,12-13-2016,20927,"$253,640.82"
NOFD Engine Nos. 22 and 39,Gordian Group,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-30-2016,08-31-2016,11-10-2016,11-15-2016,11-16-2016,11-18-2016,11-18-2016,11-28-2016,12-09-2016,12-13-2016,20866,$624.41
Municipal Yacht Harbor Boat House Repairs,Fidelity & Deposit Company of Maryland,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-04-2016,11-07-2016,11-09-2016,11-22-2016,11-30-2016,12-02-2016,12-02-2016,12-05-2016,12-16-2016,12-20-2016,20852,"$64,666.57"
Gert Town Community Pool,"Ardaman & Associates, Inc",Testing,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-22-2016,11-03-2016,11-03-2016,11-03-2016,11-04-2016,11-08-2016,11-08-2016,11-09-2016,11-18-2016,11-23-2016,20823,"$14,611.75"
Timecard Management System,"Data Management, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-0116,11-01-2016,11-02-2016,11-02-2016,11-02-2016,11-08-2016,11-08-2016,11-09-2016,11-18-2016,11-23-2016,20817,$657.5
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,05-31-2016,10-20-2016,11-02-2016,11-04-2016,11-15-2016,11-16-2016,11-16-2016,11-21-2016,12-05-2016,12-05-2016,20830,"$394,407.74"
Lafitte Greenway Shelter (Lopez Street Brake Tag Station),Leaaf Environmental LLC,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,06-06-2016,10-25-2016,10-27-2016,10-31-2016,11-01-2016,11-02-2016,11-02-2016,11-03-2016,11-18-2016,11-23-2016,20813,"$1,199.4"
Gert Town Community Pool,"HMS Architects, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-15-2016,10-19-2016,10-25-2016,10-28-2016,10-31-2016,11-01-2016,11-01-2016,11-03-2016,11-18-2016,11-23-2016,20791,"$8,783.06"
Municipal Yacht Harbor Boat House Repairs,Fidelity & Deposit Company of Maryland,Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-04-2016,10-17-2016,10-21-2016,10-21-2016,10-25-2016,10-26-2016,10-26-2016,11-02-2016,11-28-2016,11-28-2016,20781,"$49,006.63"
NOPD Training Academy,"Volume Zero, LLC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-17-2016,10-27-2016,10-19-2016,10-27-2016,11-14-2016,11-16-2016,11-16-2016,11-21-2016,12-02-2016,12-05-2016,20800,"$12,363.57"
Rosenwald Center Phase I - Gymnasium & Grounds,Leaaf Environmental LLC,Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2016,10-13-2016,10-17-2016,10-25-2016,10-25-2016,11-01-2016,11-01-2016,11-03-2016,11-18-2016,11-23-2016,20747,"$6,284.5"
Municipal Yacht Harbor Marina Repairs,Moffatt and Nichol,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-24-2016,10-05-2016,10-10-2016,11-17-2016,11-17-2016,11-28-2016,11-28-2016,11-30-2016,12-09-2016,12-13-2016,20703,"$101,708.5"
City Hall/Civil Court MEP Repair / Replacement,"Marrero, Couvillon & Associates, LLC",General Contractor,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-30-2016,09-30-2016,10-07-2016,10-07-2016,10-11-2016,10-11-2016,10-11-2016,10-14-2016,,10-24-2016,20698,"$66,009.35"
Municipal Yacht Harbor Boat House Repairs,"PSI, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-12-2016,09-30-2016,10-07-2016,10-26-2016,10-27-2016,10-28-2016,10-28-2016,11-02-2016,11-28-2016,11-28-2016,20699,"$1,717.5"
Municipal Yacht Harbor Boat House Repairs,Fidelity & Deposit Company of Maryland,Other,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-15-2016,09-26-2016,10-05-2016,10-07-2016,10-11-2016,10-13-2016,10-13-2016,10-14-2016,,10-24-2016,20682,"$77,016.58"
Gert Town Community Pool,"HMS Architects, APC",Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-15-2016,09-30-2016,10-04-2016,10-05-2016,10-05-2016,10-10-2016,10-10-2016,10-11-2016,10-24-2016,10-17-2016,20676,"$6,851.28"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-26-2016,09-23-2016,10-03-2016,10-11-2016,10-25-2016,10-26-2016,10-26-2016,11-02-2016,11-28-2016,11-28-2016,20795,"$193,382.54"
Timecard Management System,"Data Management, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,10-31-2016,10-01-2016,09-30-2016,09-30-2016,10-06-2016,10-10-2016,10-10-2016,10-11-2016,10-24-2016,10-17-2016,20693,$635
Municipal Yacht Harbor Boat House Repairs,"PSI, Inc.",Testing,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2016,08-31-2016,09-29-2016,09-29-2016,10-18-2016,10-19-2016,10-19-2016,10-26-2016,11-18-2016,11-23-2016,20658,$464.25
Rosenwald Center Phase I - Gymnasium & Grounds,Leaaf Environmental LLC,Testing,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-21-2016,09-22-2016,09-26-2016,10-08-2016,10-12-2016,10-13-2016,10-13-2016,10-14-2016,,10-24-2016,20637,"$4,544"
Cuccia-Byrnes Playground,RCL Architecture,Architect/Engineer,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-22-2016,09-22-2016,09-22-2016,09-22-2016,09-23-2016,09-26-2016,09-26-2016,09-26-2016,10-24-2016,10-17-2016,20627,"$3,585.45"
City Hall/Civil Court MEP Repair / Replacement,"Marrero, Couvillon & Associates, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2016,08-31-2016,09-20-2016,09-23-2016,09-23-2016,09-26-2016,09-26-2016,09-26-2016,10-24-2016,10-17-2016,20619,"$45,780.69"
Parks & Parkways Phase IV - Greenhouse,"VergesRome Architects, APAC",Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-13-2016,09-13-2016,09-16-2016,10-07-2016,10-11-2016,10-13-2016,10-13-2016,10-14-2016,,10-24-2016,20603,"$9,711.23"
Sanchez (Copelin-Byrd) Center,"Perez, APC",Architect/Engineer,no,Revolver/CDBG,10 Paid,6 Finance to Cut Check,10 Paid,Fully Paid,02-26-2015,09-09-2016,09-12-2016,09-19-2016,11-03-2016,11-08-2016,11-08-2016,11-09-2016,11-18-2016,11-23-2016,20579,"$14,748.85"
Sanchez (Copelin-Byrd) Center,"Perez, APC",Architect/Engineer,no,Revolver/CDBG,10 Paid,6 Finance to Cut Check,10 Paid,Fully Paid,07-31-2015,09-09-2016,09-12-2016,09-19-2016,11-03-2016,11-08-2016,11-08-2016,11-09-2016,11-18-2016,11-23-2016,20580,"$2,772.35"
St. Bernard Center Locker Room Renovations,RCL Architecture,Architect/Engineer,no,Revolver/City,08 State to Send to Hancock,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-08-2016,09-08-2016,09-08-2016,09-08-2016,10-10-2016,10-11-2016,10-11-2016,10-14-2016,,10-24-2016,20566,"$23,540.41"
Rosenwald Center Phase II - Pool & Poolhouse,CDW Services,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2016,09-06-2016,09-08-2016,10-07-2016,10-11-2016,10-13-2016,10-13-2016,10-14-2016,10-21-2016,10-24-2016,20568,"$12,608.96"
Milne Boys Home Phase III - Gymnasium,"Crescent Commercial Construction, LLC",General Contractor,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-17-2016,08-26-2016,09-07-2016,09-28-2016,09-29-2016,10-03-2016,10-03-2016,10-11-2016,10-24-2016,10-17-2016,20551,"$1,313"
Municipal Yacht Harbor Boat House Repairs,Fidelity & Deposit Company of Maryland,Other,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-15-2016,08-31-2016,09-07-2016,10-07-2016,10-11-2016,10-13-2016,10-13-2016,10-14-2016,,10-24-2016,20557,"$110,247.18"
Project Management - New Orleans Grants Management Group - A Jacobs/CSRS Consortium,New Orleans Grants Management Group - A Jacobs/CSRS Consortium,Project Manager,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-29-2016,08-19-2016,09-06-2016,09-07-2016,09-13-2016,09-15-2016,09-15-2016,09-20-2016,10-10-2016,10-04-2016,20561,"$218,340.9"
Timecard Management System,"Data Management, Inc",Other,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-31-2016,09-01-2016,09-02-2016,09-03-2016,09-07-2016,09-08-2016,09-08-2016,09-13-2016,10-03-2016,09-26-2016,20562,$685
Main Public Library Repairs,"WDG, LLC",Architect/Engineer,no,Revolver/City,10 Paid,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-24-2016,08-24-2016,08-24-2016,08-24-2016,08-24-2016,08-25-2016,08-25-2016,08-30-2016,09-09-2016,09-13-2016,20502,"$7,400"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-03-2016,08-15-2016,08-18-2016,08-18-2016,08-25-2016,08-29-2016,08-29-2016,08-30-2016,09-09-2016,09-13-2016,20488,"$25,248.44"
New Orleans Coroner's Complex,Construction Masters,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,08-03-2016,08-15-2016,08-18-2016,08-18-2016,08-25-2016,08-29-2016,08-29-2016,08-30-2016,09-09-2016,09-13-2016,20489,"$80,176.77"
City Hall/Civil Court MEP Repair / Replacement,"Marrero, Couvillon & Associates, LLC",General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,07-31-2016,08-31-2016,08-12-2016,08-16-2016,08-16-2016,08-18-2016,08-18-2016,08-22-2016,09-05-2016,08-29-2016,20465,"$27,681.34"
