"","Check","Fund","PV","Department","Vendor","InvoiceDate","StampDate","APDate","CheckDate","Amount","AP","TotalDays","Qtr","APUnder7","AP7_14","APOver14","TotalUnder45","Total46_90","Total91_135","TotalOver135"
"44",1711694,"51","","Property Mgmt","FHP Tectonics",2014-07-24,NA,2014-10-14,2014-10-16,"",3,84,2014 Q4,1,0,0,0,1,0,0
"45",1711702,"HUD","","OCD","Willie Jeferson",2014-09-09,NA,2014-10-09,2014-10-16,"",6,37,2014 Q4,1,0,0,1,0,0,0
"46",1711714,"51","","Capital Projects","Moses Engineers Inc",2014-09-30,NA,2014-10-15,2014-10-16,"",2,16,2014 Q4,1,0,0,1,0,0,0
"47",1711718,"51","","Public Works","Urban Systems Inc",2014-08-20,NA,2014-10-15,2014-10-16,"",2,57,2014 Q4,1,0,0,0,1,0,0
"48",1711722,"51","","Property Mgmt","Wayne Sandoz",2014-08-18,NA,2014-10-15,2014-10-16,"",2,59,2014 Q4,1,0,0,0,1,0,0
"49",1711726,"51","","Capital Projects","Kevin J. Smith Construction Co.",2014-09-23,NA,2014-10-15,2014-10-16,"",2,23,2014 Q4,1,0,0,1,0,0,0
"50",1711742,"51","","Public Works","Gulf South Engineering & Testing Inc",2014-09-15,NA,2014-10-17,2014-10-17,"",1,32,2014 Q4,1,0,0,1,0,0,0
"51",1711746,"DOL","","Mayor","Iron Mountain Records Management",2014-09-30,NA,2014-10-15,2014-10-17,"",3,17,2014 Q4,1,0,0,1,0,0,0
"52",1711750,"FDH","","Health","Laboratory",2014-09-27,NA,2014-10-10,2014-10-20,"",7,23,2014 Q4,1,0,0,1,0,0,0
"53",1711754,"51","","Property Mgmt","FHP Tectonics",2014-07-25,NA,2014-10-15,2014-10-20,"",4,87,2014 Q4,1,0,0,0,1,0,0
"54",1711758,"DOL","","Mayor","Martin Blossom",2014-10-07,NA,2014-10-15,2014-10-20,"",4,13,2014 Q4,1,0,0,1,0,0,0
"55",1711762,"UDG","","OCD","Covenant House New Orleans",2014-10-09,NA,2014-10-16,2014-10-20,"",3,11,2014 Q4,1,0,0,1,0,0,0
"56",1711766,"FDH","","Health","Concerned Citizens",2014-09-23,NA,2014-10-01,2014-10-20,"",14,27,2014 Q4,0,1,0,1,0,0,0
"57",1711770,"LDH","","Health","System ID Warehouse",2014-09-30,NA,2014-10-09,2014-10-20,"",8,20,2014 Q4,0,1,0,1,0,0,0
"58",1711775,"HUD","","OCD","Harry Thompson Center",2014-08-25,NA,2014-10-17,2014-10-21,"",3,57,2014 Q4,1,0,0,0,1,0,0
"59",1711778,"51","","Public Works","Buchart Horn",2014-09-09,NA,2014-10-21,2014-10-21,"",1,42,2014 Q4,1,0,0,1,0,0,0
"60",1711782,"HUD","","OCD","Ozanam Inn",2014-09-30,NA,2014-10-17,2014-10-21,"",3,21,2014 Q4,1,0,0,1,0,0,0
"61",1711786,"HUD","","OCD","Project Lazarus",2014-10-15,NA,2014-10-17,2014-10-21,"",3,6,2014 Q4,1,0,0,1,0,0,0
"62",1711802,"PRIV","","Mayor","Louisiana Hospitality Foundation",2014-09-10,NA,2014-10-20,2014-10-22,"",3,42,2014 Q4,1,0,0,1,0,0,0
"63",1711806,"51","","Public Works","Command Construction Industries",2014-06-01,NA,2014-10-23,2014-10-23,"",1,144,2014 Q4,1,0,0,0,0,0,1
"64",1711826,"FDJ","","Health","Byrne Sherwood",2014-03-21,NA,2014-10-20,2014-10-27,"",6,220,2014 Q4,1,0,0,0,0,0,1
"65",1711830,"51","","NORDC","The Gordian Group",2014-09-30,NA,2014-10-21,2014-10-27,"",5,27,2014 Q4,1,0,0,1,0,0,0
"66",1711834,"FDH","","Health","East Skelly LLC",2014-11-01,NA,2014-10-22,2014-10-27,"",4,0,2014 Q4,1,0,0,1,0,0,0
"67",1711838,"DOD","","OCD","Sprint",2014-06-29,NA,2014-10-20,2014-10-27,"",6,120,2014 Q4,1,0,0,0,0,1,0
"68",1711842,"DOL","","Mayor","Goodwill Industries of Southeastern LA",2014-09-30,NA,2014-10-22,2014-10-27,"",4,27,2014 Q4,1,0,0,1,0,0,0
"69",1711846,"51","","Capital Projects","Sizelier Thompson Brown Archite CTS Project Design Group LLC",2014-09-18,NA,2014-10-21,2014-10-27,"",5,39,2014 Q4,1,0,0,1,0,0,0
"70",1711850,"FDH","","Health","Royal Parking DBA GoPark",2014-10-15,NA,2014-10-21,2014-10-27,"",5,12,2014 Q4,1,0,0,1,0,0,0
"71",1711854,"DOD","","OCD","Valencia Thomas",2014-09-29,NA,2014-10-27,2014-10-28,"",2,29,2014 Q4,1,0,0,1,0,0,0
"72",1711858,"HUD","","OCD","NOLA Media Group",2014-09-30,NA,2014-10-24,2014-10-28,"",3,28,2014 Q4,1,0,0,1,0,0,0
"73",1711862,"HUD","","OCD","Southern United Neighborhood",2014-02-10,NA,2014-10-24,2014-10-28,"",3,260,2014 Q4,1,0,0,0,0,0,1
"74",1711866,"FEM","","Youth Study Center","Bob Barker Co",2014-08-07,NA,2014-10-24,2014-10-28,"",3,82,2014 Q4,1,0,0,0,1,0,0
"75",1711870,"51","","Public Works","Custom Products Corp",2014-10-08,NA,2014-10-24,2014-10-28,"",3,20,2014 Q4,1,0,0,1,0,0,0
"76",1711874,"51","","Public Works","C&S Consultants",2014-10-03,NA,2014-10-24,2014-10-28,"",3,25,2014 Q4,1,0,0,1,0,0,0
"77",1711878,"51","","Capital Projects","Beta Testing & Inspection LLC",2014-10-06,NA,2014-10-24,2014-10-28,"",3,22,2014 Q4,1,0,0,1,0,0,0
"78",1711882,"FDH","","Health","American Office Machines",2014-01-08,NA,2014-10-28,2014-10-29,"",2,294,2014 Q4,1,0,0,0,0,0,1
"79",1711886,"HUD","","OCD","Gert Town Enterprise Economic Redevelopment",2014-10-20,NA,2014-10-23,2014-10-29,"",5,9,2014 Q4,1,0,0,1,0,0,0
"80",1711890,"51","","Capital Projects","Big Yellow Construction",2013-10-11,NA,2014-10-29,2014-10-29,"",1,383,2014 Q4,1,0,0,0,0,0,1
"81",1711894,"FDH","","Health","Xerox Corporation",2014-10-01,NA,2014-10-28,2014-10-29,"",2,28,2014 Q4,1,0,0,1,0,0,0
"82",1711898,"FDH","","Health","Falcon Security Company",2014-10-22,NA,2014-10-28,2014-10-29,"",2,7,2014 Q4,1,0,0,1,0,0,0
"83",1711902,"FEM","","Homeland Security","Margaret Feder",2014-10-16,NA,2014-10-29,2014-10-30,"",2,14,2014 Q4,1,0,0,1,0,0,0
"84",1711910,"FEM","","Fire","3 South",2014-08-25,NA,2014-10-27,2014-10-30,"",4,66,2014 Q4,1,0,0,0,1,0,0
"85",1711914,"FDH","","Health","Greenway EHS Inc",2014-09-21,NA,2014-10-28,2014-10-30,"",3,39,2014 Q4,1,0,0,1,0,0,0
"86",1711920,"HUD","","OCD","Ives Business Forms",2014-10-14,NA,2014-10-23,2014-10-30,"",6,16,2014 Q4,1,0,0,1,0,0,0
"87",1711922,"HUD","","OCD","Louisiana Office Products",2014-10-14,NA,2014-10-23,2014-10-30,"",6,16,2014 Q4,1,0,0,1,0,0,0
"88",1711927,"FDH","","Health","Royal Parking ",2014-10-15,NA,2014-10-28,2014-10-30,"",3,15,2014 Q4,1,0,0,1,0,0,0
"89",1711930,"FJA","","Homeland Security","Hewlett-Packard",2014-10-16,NA,2014-10-28,2014-10-30,"",3,14,2014 Q4,1,0,0,1,0,0,0
"90",1711934,"51","","Public Works","Stuart Consulting Group Inc",2014-06-10,NA,2014-10-30,2014-10-31,"",2,143,2014 Q4,1,0,0,0,0,0,1
"91",1711938,"HUD","","OCD","Kemistry Solutions LLC",2014-10-03,NA,2014-10-21,2014-10-31,"",9,28,2014 Q4,0,1,0,1,0,0,0
"92",1711942,"HUD","","OCD","Jericho Road Episcopal Housing Initiative",2014-10-14,NA,2014-10-26,2014-10-31,"",6,17,2014 Q4,1,0,0,1,0,0,0
"93",1711946,"HUD","","OCD","St. Bernard Project",2014-10-21,NA,2014-10-28,2014-10-31,"",4,10,2014 Q4,1,0,0,1,0,0,0
"94",1711950,"LMD","","Homeland Security","Manpower International Inc",2014-10-19,NA,2014-10-29,2014-10-31,"",3,12,2014 Q4,1,0,0,1,0,0,0
"95",1711954,"HUD","","OCD","Gregory Jeferson",2014-11-04,NA,2014-10-21,2014-10-31,"",9,0,2014 Q4,0,1,0,1,0,0,0
"96",1711958,"HUD","","OCD","Sidney Wyche",2014-09-09,NA,2014-10-21,2014-10-31,"",9,52,2014 Q4,0,1,0,0,1,0,0
"97",1711962,"HUD","","OCD","London & Lee T Bridget",2014-10-04,NA,2014-10-21,2014-10-31,"",9,27,2014 Q4,0,1,0,1,0,0,0
"98",1711966,"LCD","","OCD","Thompson Information Services",2014-10-30,NA,2014-10-31,2014-10-31,"",1,1,2014 Q4,1,0,0,1,0,0,0
"99",1711970,"HUD","","OCD","Preservation Resource Center",2014-10-01,NA,2014-10-22,2014-10-31,"",8,30,2014 Q4,0,1,0,1,0,0,0
"100",1711974,"HUD","","OCD","Preservation Resource Center",2014-10-13,NA,2014-10-23,2014-10-31,"",7,18,2014 Q4,1,0,0,1,0,0,0
"101",1711978,"HUD","","OCD","Louisiana Office Products",2014-10-17,NA,2014-10-28,2014-10-31,"",4,14,2014 Q4,1,0,0,1,0,0,0
"102",1711982,"HUD","","OCD","ABB Properties LLC",2014-10-04,NA,2014-10-21,2014-10-31,"",9,27,2014 Q4,0,1,0,1,0,0,0
"103",1711986,"HUD","","OCD","Rosa Marie Laines",2014-08-05,NA,2014-10-15,2014-11-03,"",14,90,2014 Q4,0,1,0,0,1,0,0
"104",1711990,"HUD","","OCD","Chris Boudreaux",2014-09-09,NA,2014-10-15,2014-11-03,"",14,55,2014 Q4,0,1,0,0,1,0,0
"105",1711994,"HUD","","OCD","Bella Zoya LLC",2014-08-27,NA,2014-10-15,2014-11-03,"",14,68,2014 Q4,0,1,0,0,1,0,0
"106",1711998,"HUD","","OCD","Remax Real Estate Partners",2014-09-09,NA,2014-10-15,2014-11-03,"",14,55,2014 Q4,0,1,0,0,1,0,0
"107",1712002,"51","","Capital Projects","George Hero AIA Architect LLC",2014-10-13,NA,2014-10-31,2014-11-03,"",2,21,2014 Q4,1,0,0,1,0,0,0
"108",1712006,"FDH","","Health","Target Bank",2014-09-29,NA,2014-10-31,2014-11-04,"",3,36,2014 Q4,1,0,0,1,0,0,0
"109",1712010,"HUD","","OCD","Canon Financial Services Inc",2014-10-13,NA,2014-10-31,2014-11-04,"",3,22,2014 Q4,1,0,0,1,0,0,0
"110",1712014,"LDH","","Health","Sprint",2014-10-29,NA,2014-10-31,2014-11-04,"",3,6,2014 Q4,1,0,0,1,0,0,0
"111",1712018,"DOD","","OCD","Sprint",2014-09-29,NA,2014-10-29,2014-11-04,"",5,36,2014 Q4,1,0,0,1,0,0,0
"112",1712022,"FDJ","","Health","NAMI New Orleans",2014-10-16,NA,2014-10-29,2014-11-04,"",5,19,2014 Q4,1,0,0,1,0,0,0
"113",1712026,"FJA","","Health","Event Rental",2014-10-24,NA,2014-10-30,2014-11-04,"",4,11,2014 Q4,1,0,0,1,0,0,0
"114",1712030,"LCD","","OCD","Louisiana Office Products",2014-10-28,NA,2014-11-04,2014-11-05,"",2,8,2014 Q4,1,0,0,1,0,0,0
"115",1712035,"51","","Capital Projects","Tuna Construction",2014-10-08,NA,2014-11-04,2014-11-06,"",3,29,2014 Q4,1,0,0,1,0,0,0
"116",1712038,"HUD","","OCD","NOLA Media Group",2014-09-30,NA,2014-11-04,2014-11-06,"",3,37,2014 Q4,1,0,0,1,0,0,0
"117",1712042,"FDH","","Health","Denise Skinner",2014-10-29,NA,2014-11-04,2014-11-06,"",3,8,2014 Q4,1,0,0,1,0,0,0
"118",1712046,"HUD","","OCD","Louisiana Office Products",2014-10-28,NA,2014-11-04,2014-11-06,"",3,9,2014 Q4,1,0,0,1,0,0,0
"119",1712050,"HUD","","OCD","Project Lazarus",2014-10-23,NA,2014-11-04,2014-11-06,"",3,14,2014 Q4,1,0,0,1,0,0,0
"120",1712070,"51","","Public Works","Pavement Markings",2014-09-30,NA,2014-11-07,2014-11-10,"",2,41,2014 Q4,1,0,0,1,0,0,0
"121",1712071,"51","","Capital Projects","Rotolo Consultants",2014-09-20,NA,2014-11-07,2014-11-10,"",2,51,2014 Q4,1,0,0,0,1,0,0
"122",1712072,"51","","Capital Projects","Battco Construction & Maintenance",2014-11-04,NA,2014-11-07,2014-11-10,"",2,6,2014 Q4,1,0,0,1,0,0,0
"123",1712074,"FDH","","Health","Henry Schein",2014-10-21,NA,2014-11-06,2014-11-11,"",4,21,2014 Q4,1,0,0,1,0,0,0
"124",1712078,"FEM","","OCD","NOLA Media Group",2014-09-30,NA,2014-11-04,2014-11-11,"",6,42,2014 Q4,1,0,0,1,0,0,0
"125",1712082,"FEM","","Homeland Security","Margaret Feder",2014-10-23,NA,2014-11-05,2014-11-11,"",5,19,2014 Q4,1,0,0,1,0,0,0
"126",1712086,"FDH","","Health","Portobello Catering",2014-10-27,NA,2014-11-06,2014-11-11,"",4,15,2014 Q4,1,0,0,1,0,0,0
"127",1712090,"FDH","","Health","Orleans Parish Hospital District A",2014-10-24,NA,2014-11-05,2014-11-11,"",5,18,2014 Q4,1,0,0,1,0,0,0
"128",1712094,"FDH","","Health","Sprint",2014-07-29,NA,2014-11-06,2014-11-11,"",4,105,2014 Q4,1,0,0,0,0,1,0
"129",1712098,"DOL","","Mayor","Mona Flores",2014-09-29,NA,2014-11-05,2014-11-11,"",5,43,2014 Q4,1,0,0,1,0,0,0
"130",1712101,"HUD","","OCD","Southwest Nahro Services",2014-11-03,NA,2014-11-10,2014-11-11,"",2,8,2014 Q4,1,0,0,1,0,0,0
"131",1712103,"DOL","","Mayor","Cox Communications",2014-10-21,NA,2014-11-05,2014-11-11,"",5,21,2014 Q4,1,0,0,1,0,0,0
"132",1712106,"DOL","","Mayor","Goodwill Industries of Southeastern LA",2014-10-31,NA,2014-11-06,2014-11-11,"",4,11,2014 Q4,1,0,0,1,0,0,0
"133",1712110,"FDH","","Health","Regional Transit Authority",2014-10-08,NA,2014-10-28,2014-11-11,"",11,34,2014 Q4,0,1,0,1,0,0,0
"134",1712114,"HUD","","OCD","Concerned Citizens for a Better Algiers",2014-11-06,NA,2014-11-07,2014-11-11,"",3,5,2014 Q4,1,0,0,1,0,0,0
"135",1712115,"51","","Capital Projects","Materials Mgmt",2014-09-25,NA,2014-11-06,2014-11-11,"",4,47,2014 Q4,1,0,0,0,1,0,0
"136",1712135,"51","","Public Works","Stratum Engineering",2014-10-09,NA,2014-11-11,2014-11-11,"",1,33,2014 Q4,1,0,0,1,0,0,0
"137",1712142,"HUD","","OCD","Charles Jacob",2014-09-09,NA,2014-11-11,2014-11-11,"",1,63,2014 Q4,1,0,0,0,1,0,0
"138",1712149,"FJA","","Health","Orleans Parish Criminal Sheriff",2014-09-03,NA,2014-11-11,2014-11-11,"",1,69,2014 Q4,1,0,0,0,1,0,0
"139",1712156,"DOL","","Mayor","Greater New Orleans Center Training & Development",2014-11-10,NA,2014-11-12,2014-11-13,"",2,3,2014 Q4,1,0,0,1,0,0,0
"140",1712434,"FDH","","Health","Tanya Septer Russell",2014-10-01,NA,2014-11-13,2014-11-14,"",2,44,2014 Q4,1,0,0,1,0,0,0
"141",1712443,"FEM","","Property Mgmt","Grainger",2014-10-27,NA,2014-11-10,2014-11-14,"",5,18,2014 Q4,1,0,0,1,0,0,0
"142",1712447,"LLE","","NOPD","ISYC-Intelligent System",2014-10-10,NA,2014-11-13,2014-11-14,"",2,35,2014 Q4,1,0,0,1,0,0,0
"143",1712463,"LLE","","NOPD","Hewlett-Packard",2014-10-31,NA,2014-11-13,2014-11-14,"",2,14,2014 Q4,1,0,0,1,0,0,0
"144",1712471,"51","","Public Works","Custom Products Corp",2014-10-29,NA,2014-11-11,2014-11-17,"",5,19,2014 Q4,1,0,0,1,0,0,0
"145",1712475,"51","","Public Works","Fleming Construction Co.",2014-10-22,NA,2014-11-14,2014-11-17,"",2,26,2014 Q4,1,0,0,1,0,0,0
"146",1712481,"51","","Public Works","ECM Consultants",2014-10-13,NA,2014-11-11,2014-11-17,"",5,35,2014 Q4,1,0,0,1,0,0,0
"147",1712488,"51","","Capital Projects","Big Yellow Construction",2014-10-27,NA,2014-11-14,2014-11-17,"",2,21,2014 Q4,1,0,0,1,0,0,0
"148",1712493,"HUD","","OCD","Providence Community Housing",2014-10-16,NA,2014-11-14,2014-11-17,"",2,32,2014 Q4,1,0,0,1,0,0,0
"149",1712499,"HUD","","OCD","St. Bernard Project",2014-11-04,NA,2014-11-14,2014-11-17,"",2,13,2014 Q4,1,0,0,1,0,0,0
"150",1712505,"FDH","","Health","Fastsigns",2014-10-28,NA,2014-11-13,2014-11-18,"",4,21,2014 Q4,1,0,0,1,0,0,0
"151",1712511,"51","","Public Works","Hard Rock Construction",2014-09-18,NA,2014-11-18,2014-11-18,"",1,61,2014 Q4,1,0,0,0,1,0,0
"152",1712517,"FDH","","Health","Standard Parking",2014-10-31,NA,2014-11-14,2014-11-19,"",4,19,2014 Q4,1,0,0,1,0,0,0
"153",1712535,"FDH","","Health","Vatsana Chantala",2014-10-01,NA,2014-11-17,2014-11-20,"",4,50,2014 Q4,1,0,0,0,1,0,0
"154",1712541,"FDJ","","Health","Byrne Sherwood",2014-10-01,NA,2014-11-17,2014-11-20,"",4,50,2014 Q4,1,0,0,0,1,0,0
"155",1712547,"HUD","","OCD","Lou Piazza Assoc",2014-11-03,NA,2014-11-18,2014-11-20,"",3,17,2014 Q4,1,0,0,1,0,0,0
"156",1712553,"FDH","","Health","DS Waters of America",2014-10-24,NA,2014-11-14,2014-11-20,"",5,27,2014 Q4,1,0,0,1,0,0,0
"157",1712559,"HUD","","OCD","Baronne Street Investment",2014-11-04,NA,2014-11-18,2014-11-20,"",3,16,2014 Q4,1,0,0,1,0,0,0
"158",1712566,"51","","Public Works","Terracon Consultants",2014-10-20,NA,2014-11-20,2014-11-20,"",1,31,2014 Q4,1,0,0,1,0,0,0
"159",1712571,"HUD","","OCD","Audrey Lee",2014-11-04,NA,2014-11-18,2014-11-20,"",3,16,2014 Q4,1,0,0,1,0,0,0
"160",1712577,"HUD","","OCD","Dorothy Williams",2014-11-04,NA,2014-11-19,2014-11-20,"",2,16,2014 Q4,1,0,0,1,0,0,0
"161",1712583,"LSS","","OCD","House of Ruth",2014-08-21,NA,2014-11-20,2014-11-20,"",1,91,2014 Q4,1,0,0,0,0,1,0
"162",1712595,"HUD","","OCD","Demand Realty",2014-11-04,NA,2014-11-18,2014-11-20,"",3,16,2014 Q4,1,0,0,1,0,0,0
"163",1712601,"HUD","","OCD","ABB Properties LLC",2014-11-04,NA,2014-11-18,2014-11-20,"",3,16,2014 Q4,1,0,0,1,0,0,0
"164",1712613,"FEM","","Fire","Motorola",2014-08-30,NA,2014-11-24,2014-11-24,"",1,86,2014 Q4,1,0,0,0,1,0,0
"165",1712619,"FDH","","Health","Pfister Auder",2014-10-01,NA,2014-11-17,2014-11-24,"",6,54,2014 Q4,1,0,0,0,1,0,0
"166",1712625,"PRIV","","OIG","Paula Pendarvis LLC",2014-10-31,NA,2014-11-19,2014-11-24,"",4,24,2014 Q4,1,0,0,1,0,0,0
"167",1712631,"51","","Public Works","The Gordian Group",2014-11-13,NA,2014-11-25,2014-11-26,"",2,13,2014 Q4,1,0,0,1,0,0,0
"168",1712637,"EPA","","Mosquito Control","WW Grainer",2014-10-28,NA,2014-11-19,2014-11-26,"",6,29,2014 Q4,1,0,0,1,0,0,0
"169",1712643,"FEM","","Fire","3 South",2014-08-05,NA,2014-11-17,2014-11-26,"",8,113,2014 Q4,0,1,0,0,0,1,0
"170",1712649,"51","","Capital Projects","H&O Investments",2014-07-09,NA,2014-11-17,2014-11-26,"",8,140,2014 Q4,0,1,0,0,0,0,1
"171",1712655,"FDH","","Health","Alere Toxicology Services",2014-10-31,NA,2014-11-17,2014-11-26,"",8,26,2014 Q4,0,1,0,1,0,0,0
"172",1712661,"51","","Public Works","Digital Engineering & Imaging",2014-11-04,NA,2014-11-21,2014-11-26,"",4,22,2014 Q4,1,0,0,1,0,0,0
"173",1712667,"51","","Capital Projects","Beta Testing & Inspection LLC",2014-08-22,NA,2014-11-17,2014-11-26,"",8,96,2014 Q4,0,1,0,0,0,1,0
"174",1712691,"HUD","","OCD","Canon Financial Services Inc",2014-11-12,NA,2014-11-25,2014-12-02,"",4,20,2014 Q4,1,0,0,1,0,0,0
"175",1712697,"UDG","","OCD","Covenant House New Orleans",2014-11-17,NA,2014-11-25,2014-12-02,"",4,15,2014 Q4,1,0,0,1,0,0,0
"176",1712703,"HUD","","OCD","Louisana Office Products",2014-11-06,NA,2014-11-25,2014-12-02,"",4,26,2014 Q4,1,0,0,1,0,0,0
