"","Check","PO","Account.String","Department","Invoice.Date","Stamp.Date","Accounts.Payable.Date","Check.Date","Vendor","Amount","AP","TotalDays","Qtr","APUnder7","AP7_14","APOver14","TotalUnder30","Total31_60","Total61_90","Total91_120","TotalOver120"
"60",89239,"8910267648","0200-0000-0000-000-03A720","aviation",2012-11-23,NA,2012-12-12,2013-01-03,"G&K Services",244.11,15,41,2013 Q1,0,0,1,0,1,0,0,0
"61",89240,"8910265421","0200-0900-8910-200-213020","aviation",2012-11-19,NA,2012-12-12,2013-01-03,"Standard Signs, Inc.",3825,15,45,2013 Q1,0,0,1,0,1,0,0,0
"62",89241,"2233257827","0001-0220-2233-200-212240","iti",2012-12-06,NA,2012-12-28,2013-01-03,"Entergy New Orleans, Inc",929859.7,4,28,2013 Q1,1,0,0,1,0,0,0,0
"63",89242,"6850266963","PRIV-0685-6861-200-214390","mtcb",2012-11-26,NA,2012-12-10,2013-01-03,"Qiagen Inc.",677.92,17,38,2013 Q1,0,0,1,0,1,0,0,0
"64",89243,"2215257462","0138-0000-0000-000-02A500","cao",2012-11-29,NA,2012-12-07,2013-01-03,"Sprint Together with NEXTEL",395.55,18,35,2013 Q1,0,0,1,0,1,0,0,0
"65",89244,"6850267306","0237-0685-6850-200-212130","mtcb",2012-11-17,NA,2012-12-10,2013-01-03,"UPS",12,17,47,2013 Q1,0,0,1,0,1,0,0,0
"66",89245,"8910267288","0200-0900-8910-200-212158","aviation",2012-11-01,NA,2012-12-12,2013-01-03,"Middleberg Riddle & Gianna",48973.93,15,63,2013 Q1,0,0,1,0,0,1,0,0
"67",89246,"3001267780","0001-0300-3001-200-212150","sanitation",2012-08-06,NA,2012-12-28,2013-01-03,"LA Dept of Environmental Quality",2079,4,150,2013 Q1,1,0,0,0,0,0,0,1
"68",89247,"8910267004","0200-0900-8910-200-222158","aviation",2012-10-25,NA,2012-12-13,2013-01-03,"Roedel Parsons Koch Blache Balhoff and McCollister",7000,14,70,2013 Q1,0,1,0,0,0,1,0,0
"69",89248,"6850262939","0001-0685-6850-200-214378","mtcb",2012-11-20,NA,2012-12-06,2013-01-03,"The HON Company",226.92,19,44,2013 Q1,0,0,1,0,1,0,0,0
"70",89249,"8910267042","0200-0900-8910-200-212130","aviation",2012-09-10,NA,2012-12-12,2013-01-03,"Graybar Electric Co., Inc.",127.41,15,115,2013 Q1,0,0,1,0,0,0,1,0
"71",89250,"6850267301","0237-0685-6850-200-212185","mtcb",2012-11-29,NA,2012-12-10,2013-01-03,"joes lawnmower shop",102.55,17,35,2013 Q1,0,0,1,0,1,0,0,0
"72",89251,"4041266836","0001-0400-4041-200-212600","treasury",2012-10-31,NA,2012-12-07,2013-01-03,"Loomis Fargo & Co.",889.74,18,64,2013 Q1,0,0,1,0,0,1,0,0
"73",89252,"8910257831","0200-0000-0000-000-03A720","aviation",2012-12-13,NA,2012-12-14,2013-01-03,"GM Advertising, LLC",450,13,21,2013 Q1,0,1,0,1,0,0,0,0
"74",89253,"6890259321","0001-0689-6890-200-212150","noma",2012-12-02,NA,2012-12-28,2013-01-03,"New Orleans Museum of Art",35174,4,32,2013 Q1,1,0,0,0,1,0,0,0
"75",89254,"7241267970","0001-0700-7241-200-212150","municipal grants",2012-12-12,NA,2012-12-28,2013-01-03,"LA. Dept. of Veterans Affairs",9000,4,22,2013 Q1,1,0,0,1,0,0,0,0
"76",89255,"3001212474","0001-0300-3001-200-213110","sanitation",2012-07-27,NA,2012-12-28,2013-01-03,"Cynthia Sylvain-Lear",234.59,4,160,2013 Q1,1,0,0,0,0,0,0,1
"77",89256,"5001267929","0001-0000-0000-000-03A720","public works",2012-11-01,NA,2012-12-26,2013-01-03,"Petroleum Traders Corporation",24544.87,6,63,2013 Q1,1,0,0,0,0,1,0,0
"78",89257,"6850267305","0237-0685-6850-200-213110","mtcb",2012-11-16,NA,2012-12-10,2013-01-03,"Gulf Coast Water and Beverage LLC",70,17,48,2013 Q1,0,0,1,0,1,0,0,0
"79",89258,"4031267372","PRIV-0000-0000-000-03A720","revenue",2012-11-07,NA,2012-12-10,2013-01-03,"Quill Corporation",193.37,17,57,2013 Q1,0,0,1,0,1,0,0,0
"80",89259,"8910267022","0200-0900-8910-200-212190","aviation",2012-10-31,NA,2012-12-14,2013-01-03,"Language Line Services",100,13,64,2013 Q1,0,1,0,0,0,1,0,0
"81",89260,"2136267074","0375-0210-2136-200-212150","mayor's office - other",2012-11-06,NA,2012-12-06,2013-01-03,"Lofton Staffing and Security Services",898.1,19,58,2013 Q1,0,0,1,0,1,0,0,0
"82",89261,"8910267307","0200-0900-8910-200-212158","aviation",2012-10-03,NA,2012-12-12,2013-01-03,"Broussard Baloney Law Firm,APC",7700,15,92,2013 Q1,0,0,1,0,0,0,1,0
"83",89262,"3801262145","0001-0380-3810-200-212151","youth study center",2012-12-31,NA,2012-12-28,2013-01-03,"Thaddeus R. Temple, M.D.",1245,4,3,2013 Q1,1,0,0,1,0,0,0,0
"84",89263,"3001212437","0001-0300-3001-200-212150","sanitation",2012-12-12,NA,2012-12-28,2013-01-03,"Elisha Collins",74,4,22,2013 Q1,1,0,0,1,0,0,0,0
"85",89264,"3001212436","0001-0300-3001-200-212150","sanitation",2012-12-17,NA,2012-12-28,2013-01-03,"William Nickels",66,4,17,2013 Q1,1,0,0,1,0,0,0,0
"86",89265,"3611267332","0001-0360-3611-200-214390","health",2012-12-05,NA,2012-12-07,2013-01-03,"charlotte parent",213,18,29,2013 Q1,0,0,1,1,0,0,0,0
"87",89266,"2115266954","0001-0210-2115-200-212150","mayor's office - core",2012-09-11,NA,2012-12-05,2013-01-03,"Broadcast & Production Service",550,20,114,2013 Q1,0,0,1,0,0,0,1,0
"88",89267,"8910257811","0200-0900-8910-200-212010","aviation",2012-11-30,NA,2012-12-27,2013-01-03,"Jambalaya Deportiva",1200,5,34,2013 Q1,1,0,0,0,1,0,0,0
"89",89268,"8910266349","0200-0900-8910-200-212185","aviation",2012-12-05,NA,2012-12-12,2013-01-03,"Johnstone Supply",17850,15,29,2013 Q1,0,0,1,1,0,0,0,0
"90",89269,"2132267095","0001-0210-2132-200-212160","mayor's office - other",2012-12-01,NA,2012-12-07,2013-01-03,"TCI Amoco Property LLC",1799.88,18,33,2013 Q1,0,0,1,0,1,0,0,0
"91",89270,"6850266356","0237-0685-6850-200-213020","mtcb",2012-11-12,NA,2012-12-10,2013-01-03,"Ohio Gasket & Shim Co.",19875.02,17,52,2013 Q1,0,0,1,0,1,0,0,0
"92",89271,"2010259068","0001-0200-2010-200-212157","council",2012-11-30,NA,2012-12-10,2013-01-03,"The Estopinal Group",5292,17,34,2013 Q1,0,0,1,0,1,0,0,0
"93",89272,"6850212354","0237-0685-6850-200-212150","mtcb",2012-11-08,NA,2012-12-06,2013-01-03,"Louisiana Mosquito Control Association",560,19,56,2013 Q1,0,0,1,0,1,0,0,0
"94",89273,"2297259507","0001-0220-2297-200-212180","emd",2012-12-03,NA,2012-12-15,2013-01-03,"Mark's Muffler Shop",79,13,31,2013 Q1,0,1,0,0,1,0,0,0
"95",89274,"8910257813","0200-0900-8910-200-212010","aviation",2012-11-30,NA,2012-12-12,2013-01-03,"L'Observateur",313.05,15,34,2013 Q1,0,0,1,0,1,0,0,0
"96",89275,"3879267362","0001-0380-3810-200-212151","youth study center",2012-09-11,NA,2012-12-07,2013-01-03,"Broad Avenue Pharmacy LLC",771.29,18,114,2013 Q1,0,0,1,0,0,0,1,0
"97",89276,"4031267204","0001-0400-4031-200-212140","revenue",2012-11-30,NA,2012-12-10,2013-01-03,"ABBOTT ENTERPRISES, LLC D",865.29,17,34,2013 Q1,0,0,1,0,1,0,0,0
"98",89277,"2112267040","0001-0000-0000-000-02A500","mayor's office - core",2012-11-16,NA,2012-12-07,2013-01-03,"Capital City Press",41.26,18,48,2013 Q1,0,0,1,0,1,0,0,0
"99",89278,"8910266813","0200-0900-8910-200-212159","aviation",2012-11-07,NA,2012-12-12,2013-01-03,"East Jefferson Levee District",1408.5,15,57,2013 Q1,0,0,1,0,1,0,0,0
"100",89279,"8910266454","0200-0900-8910-200-213020","aviation",2012-11-09,NA,2012-12-12,2013-01-03,"Eagle Insulations, llc",810,15,55,2013 Q1,0,0,1,0,1,0,0,0
"101",89280,"6301267466","0691-0630-6301-200-212185","library",2012-11-30,NA,2012-12-14,2013-01-03,"KSM Janitorial & Cleaning Service, LLC",5000,13,34,2013 Q1,0,1,0,0,1,0,0,0
"102",89281,"8910266894","0200-0900-8910-200-213270","aviation",2012-12-12,NA,2012-12-17,2013-01-03,"Promo Ad Specialties",879.44,12,22,2013 Q1,0,1,0,1,0,0,0,0
"103",89282,"2111267891","0358-0210-2111-200-222157","mayor's office - core",2012-12-14,NA,2012-12-27,2013-01-03,"New Orleans Rehabilitation Education and Civic Committee",5000,5,20,2013 Q1,1,0,0,1,0,0,0,0
"104",89283,"4001267364","0001-0400-4001-200-212172","finance",2012-11-29,NA,2012-12-10,2013-01-03,"Sprint Nextel Corp",433.34,17,35,2013 Q1,0,0,1,0,1,0,0,0
"105",89284,"7241257488","0001-0700-7241-200-212600","municipal grants",2012-11-05,NA,2012-12-12,2013-01-03,"Orleans Public Defenders",70180.9,15,59,2013 Q1,0,0,1,0,1,0,0,0
"106",89285,"5001266291","0001-0500-5251-200-212185","public works",2012-12-05,NA,2012-12-06,2013-01-03,"All Star Electric Inc.",35073.21,19,29,2013 Q1,0,0,1,1,0,0,0,0
"107",89286,"8910258713","0200-0900-8910-200-212159","aviation",2012-12-11,NA,2012-12-18,2013-01-03,"INTERNATIONAL SECURITY MANAGEMENT GROUP",19327.7,11,23,2013 Q1,0,1,0,1,0,0,0,0
"108",89287,"2297259908","0001-0220-2297-200-212180","emd",2012-11-28,NA,2012-12-13,2013-01-03,"zap mechanical llc dba THE RADIATOR SHOP OF N.O.",290,14,36,2013 Q1,0,1,0,0,1,0,0,0
"109",89288,"2101266960","0001-0210-2101-200-212600","mayor's office - core",2012-11-15,NA,2012-12-07,2013-01-03,"The Catering Connection Unlimited, Inc",500,18,49,2013 Q1,0,0,1,0,1,0,0,0
"110",89289,"7826157666","0138-0782-7826-200-212150","ocd",2012-12-05,NA,2012-12-11,2013-01-03,"Andre' T. Haydel",3225,16,29,2013 Q1,0,0,1,1,0,0,0,0
"111",89290,"7003267847","0001-0700-7003-200-213270","nordc",2012-12-27,NA,2012-12-28,2013-01-03,"Poolsure-SE, LLC. dba Pool Chem",38679.19,4,7,2013 Q1,1,0,0,1,0,0,0,0
"112",89291,"8910267514","0200-0900-8910-200-222157","aviation",2012-12-04,NA,2012-12-14,2013-01-03,"Evaluation Systems for Personnel, Inc.",20889.19,13,30,2013 Q1,0,1,0,1,0,0,0,0
"113",89292,"8910267072","0200-0900-8910-200-213270","aviation",2012-12-12,NA,2012-12-27,2013-01-03,"SmartSign",336,5,22,2013 Q1,1,0,0,1,0,0,0,0
"114",89293,"8910267643","0200-0000-0000-000-03A720","aviation",2012-10-26,NA,2012-12-26,2013-01-03,"NAPA Auto Parts",859.13,6,69,2013 Q1,1,0,0,0,0,1,0,0
"115",89294,"3665266994","0001-0360-3665-200-223190","ems",2012-11-12,NA,2012-12-05,2013-01-03,"Vidacare Corporation",21710.29,20,52,2013 Q1,0,0,1,0,1,0,0,0
"116",89295,"3042259069","0001-0300-3025-200-212600","sanitation",2012-12-17,NA,2012-12-28,2013-01-03,"SURETEMPS, LLC.",745.2,4,17,2013 Q1,1,0,0,1,0,0,0,0
"117",89296,"3801260531","0001-0380-3810-200-212151","youth study center",2012-11-30,NA,2012-12-28,2013-01-03,"John A. Hunter, Ph.D.",384,4,34,2013 Q1,1,0,0,0,1,0,0,0
"118",89297,"4051257640","0001-0450-4511-200-213250","property mgmt",2012-12-03,NA,2012-12-07,2013-01-03,"Independent Stationers",315.6,18,31,2013 Q1,0,0,1,0,1,0,0,0
"119",89298,"3660266789","PRIV-0360-3660-200-212160","health",2012-11-06,NA,2012-12-06,2013-01-03,"Yvette Wing",90,19,58,2013 Q1,0,0,1,0,1,0,0,0
"120",89299,"8910262292","0200-0000-0000-000-02A500","aviation",2012-11-27,NA,2012-12-13,2013-01-03,"NOTOCO",326.7,14,37,2013 Q1,0,1,0,0,1,0,0,0
"121",89300,"8910264789","0200-0900-8910-200-212158","aviation",2012-11-30,NA,2012-12-12,2013-01-03,"Max Reporting, LLC.",919,15,34,2013 Q1,0,0,1,0,1,0,0,0
"122",89301,"8910263488","0200-0900-8910-200-213220","aviation",2012-11-30,NA,2012-12-18,2013-01-03,"Door Controls, Inc.",736.67,11,34,2013 Q1,0,1,0,0,1,0,0,0
"123",89302,"8910264135","0200-0900-8910-200-213130","aviation",2012-12-08,NA,2012-12-13,2013-01-03,"Billy Heroman's Flowerland Inc",615,14,26,2013 Q1,0,1,0,1,0,0,0,0
"124",89303,"8910265332","0200-0900-8910-200-213020","aviation",2012-10-31,NA,2012-12-12,2013-01-03,"jim owens carpet corporation",983.5,15,64,2013 Q1,0,0,1,0,0,1,0,0
"125",89304,"6251265834","0001-0620-6251-200-223130","parks & parkways",2012-11-09,NA,2012-12-07,2013-01-03,"Flurry's Turf Supply, LLC",5760,18,55,2013 Q1,0,0,1,0,1,0,0,0
"126",89305,"2234267265","0001-0220-2234-200-213250","iti",2012-09-11,NA,2012-12-06,2013-01-03,"Netelligent Corporation",9684.25,19,114,2013 Q1,0,0,1,0,0,0,1,0
"127",89306,"2231267274","0001-0220-2231-200-212600","iti",2012-11-16,NA,2012-12-07,2013-01-03,"The German Marshall Fund of United States",49000,18,48,2013 Q1,0,0,1,0,1,0,0,0
"128",89307,"3611266750","0001-0000-0000-000-02A500","health",2012-10-23,NA,2012-12-06,2013-01-03,"Ayame Nagatani Dinkler",97.02,19,72,2013 Q1,0,0,1,0,0,1,0,0
"129",89308,"6850267309","0237-0685-6850-200-212150","mtcb",2012-10-29,NA,2012-12-10,2013-01-03,"Rapid Accounting LLC",360,17,66,2013 Q1,0,0,1,0,0,1,0,0
"130",89309,"3611266796","0001-0000-0000-000-02A500","health",2012-02-24,NA,2012-12-06,2013-01-03,"Quidsi Retail LLC",973.2,19,314,2013 Q1,0,0,1,0,0,0,0,1
"131",89310,"8910267390","0200-0900-8910-200-212060","aviation",2012-12-12,NA,2012-12-13,2013-01-03,"Construction Specifications Institute Inc.",150,14,22,2013 Q1,0,1,0,1,0,0,0,0
"132",89331,"8910265408","0200-0900-8910-200-214356","aviation",2012-12-06,NA,2012-12-17,2013-01-07,"Call One, Inc.",2398.95,14,32,2013 Q1,0,1,0,0,1,0,0,0
"133",89332,"4511267323","0001-0450-4511-200-213050","property mgmt",2012-12-11,NA,2012-12-26,2013-01-07,"Armstrong's Supply Co., Inc.",10.54,8,27,2013 Q1,0,1,0,1,0,0,0,0
"134",89333,"4555212454","0001-0450-4511-200-212150","property mgmt",2012-12-04,NA,2013-01-04,2013-01-07,"deline williams",25,2,34,2013 Q1,1,0,0,0,1,0,0,0
"135",89334,"8910267581","0200-0900-8910-200-212159","aviation",2012-12-03,NA,2012-12-19,2013-01-07,"Jefferson Parish Sheriff's Office",254967.6,12,35,2013 Q1,0,1,0,0,1,0,0,0
"136",89335,"6251267334","0001-0620-6251-200-213020","parks & parkways",2012-11-07,NA,2012-12-10,2013-01-07,"Signs Now 77",214.8,19,61,2013 Q1,0,0,1,0,0,1,0,0
"137",89336,"2030267118","0001-0200-2030-200-213250","oig",2012-09-21,NA,2012-12-10,2013-01-07,"Louisiana Office Products",138.4,19,108,2013 Q1,0,0,1,0,0,0,1,0
"138",89337,"7101262451","0001-0710-7101-200-212185","oig",2012-12-03,NA,2012-12-10,2013-01-07,"Allfax Specialties, Inc.",208.32,19,35,2013 Q1,0,0,1,0,1,0,0,0
